Eje,Nº Programa,Programa,Tipo,Proyecto,Objetivo (si aplica)
EJE VII.,59,Rehabilitación de Barrios Históricos,Principal,Mejoras en zonas patrimoniales,
EJE VII.,60,Barrios Comunitarios Autogestionados,Emblemático,"Hábitat Humano: Vivienda, comunidad y naturaleza.",Fondos concursables y capacitación técnica por zona urbana
EJE VII.,60,Barrios Comunitarios Autogestionados,Proyecto 4,"Eje I (Participación), Eje IV",
EJE VII.,60,Barrios Comunitarios Autogestionados,Principal,Planes Participativos de Mejoramiento,
EJE VII.,60,Barrios Comunitarios Autogestionados,Principal,Fondos Concursables Vecinales,
EJE VII.,61,Regeneración y Mejora Integral de Barrios,Proyecto 4,"Eje IX (Espacio público), Eje V",
EJE VII.,61,Regeneración y Mejora Integral de Barrios,Principal,"Intervenciones integrales: iluminación, escaleras, calles",
EJE VII.,62,Hábitat Verde y Urbanismo Ecosistémico,Proyecto 4,"Eje IX (Ambiente), Eje II",
EJE VII.,62,Hábitat Verde y Urbanismo Ecosistémico,Principal,Parques Barriales Resilientes,
EJE VII.,62,Hábitat Verde y Urbanismo Ecosistémico,Principal,Infraestructura Verde en barrios,
EJE VII.,63,"Red Distrital de Justicia y Mediación Barrial
“Derechos cerca de casa.”",Proyecto 4,"Eje I, II, IV, VI, VII",
EJE VII.,63,"Red Distrital de Justicia y Mediación Barrial
“Derechos cerca de casa.”",Principal,Calles Seguras para Ellas,
EJE VII.,63,"Red Distrital de Justicia y Mediación Barrial
“Derechos cerca de casa.”",Principal,Alertas Comunitarias contra la Violencia,
EJE VIII.,64,Movilidad Urbana Sostenible,Emblemático,Muévete La Paz: Red multimodal sostenible.,"120 km de rutas peatonales y ciclorrutas seguras, con infraestructura inclusiva."
EJE VIII.,64,Movilidad Urbana Sostenible,Proyecto 4,"Eje II (Salud), Eje IX (Clima), Eje V (Discapacidad)",
EJE VIII.,64,Movilidad Urbana Sostenible,Principal,Caminabilidad Distrital,
EJE VIII.,64,Movilidad Urbana Sostenible,Principal,Red de Ciclorrutas,
EJE VIII.,65,Sistema Integrado de Transporte Público,Emblemático,Tarjeta Ciudad Humana: Transporte unificado y social.,5 líneas de teleférico + tren urbano central + billetera digital unificada
EJE VIII.,65,Sistema Integrado de Transporte Público,Proyecto 4,"Eje I (Financiamiento), Eje X (Metropolitano), Eje VI (Cultura)",
EJE VIII.,65,Sistema Integrado de Transporte Público,Principal,Teleféricos Movilivida,
EJE VIII.,65,Sistema Integrado de Transporte Público,Principal,Tren Urbano Central,
EJE VIII.,66,Ordenamiento del Transporte Público Colectivo,Proyecto 4,"Eje V (Seguridad), Eje IV (Empleo), Eje I (Gestión)",
EJE VIII.,66,Ordenamiento del Transporte Público Colectivo,Principal,Rutas Integradas Inteligentes,
EJE VIII.,66,Ordenamiento del Transporte Público Colectivo,Principal,Formalización del Transporte Popular,
EJE VIII.,67,Logística Urbana Inteligente,Emblemático,Ciudad que Se Mueve: Red de Distribución Urbana Sostenible.,"Adaptación de estaciones, aceras, señalética y vehículos accesibles"
EJE VIII.,67,Logística Urbana Inteligente,Proyecto 4,"Eje VII (Vialidad), Eje IV (Comercio), Eje III (Tecnología)",
EJE VIII.,67,Logística Urbana Inteligente,Principal,Paradas Seguras y Digitalizadas,
EJE VIII.,67,Logística Urbana Inteligente,Principal,Semáforos y Sensores de Flujo Vehicular,
EJE VIII.,68,Infraestructura Vial Estratégica,Emblemático,La Vía es Nuestra: Calles completas para todas las personas.,"Intervención en 70 zonas críticas: señalización, carga-descarga, cámaras, mobiliario vial"
EJE VIII.,68,Infraestructura Vial Estratégica,Proyecto 4,"Eje VII (Equipamiento), Eje IX (Territorio), Eje X (Integración)",
EJE VIII.,68,Infraestructura Vial Estratégica,Principal,Vías Distritales de Conexión,
EJE VIII.,68,Infraestructura Vial Estratégica,Principal,Intervenciones en Cuellos de Botella,
EJE VIII.,69,Parqueo y Control del Espacio Público Vial,Emblemático,Parqueo Inteligente y Vecinal.,10 centros de parqueo vertical + fiscalización digital de uso de aceras y vías
EJE VIII.,69,Parqueo y Control del Espacio Público Vial,Proyecto 4,"Eje I (Ordenamiento), Eje VI (Convivencia), Eje VII (Catastro)",
EJE VIII.,69,Parqueo y Control del Espacio Público Vial,Principal,Red de Parqueos Municipales,
EJE VIII.,69,Parqueo y Control del Espacio Público Vial,Principal,Regulación del Espacio Público,
EJE VIII.,70,Control del Transporte Interciudad y Fronteras Urbanas,Emblemático,Terminal Inteligente Metropolitana.,Estaciones de fiscalización conjunta La Paz – El Alto con sensores y registro
EJE VIII.,70,Control del Transporte Interciudad y Fronteras Urbanas,Proyecto 4,"Eje X (Gobernanza), Eje I (Gestión), Eje IV (Logística)",
EJE VIII.,70,Control del Transporte Interciudad y Fronteras Urbanas,Principal,Terminales Metropolitanas,
EJE VIII.,70,Control del Transporte Interciudad y Fronteras Urbanas,Principal,Puntos de Control y Fiscalización,
EJE VIII.,71,Caminos Distritales y Rurales,Emblemático,Guardianes de la Movilidad: Patrullas cívicas con formación ciudadana.,
EJE VIII.,71,Caminos Distritales y Rurales,Proyecto 4,"Eje IX (Productivo rural), Eje VII (Vivienda), Eje II (Emergencias)",
EJE VIII.,71,Caminos Distritales y Rurales,Principal,Mantenimiento Preventivo Distrital,
EJE VIII.,71,Caminos Distritales y Rurales,Principal,Caminos Rurales de Conexión,
EJE VIII.,72,Seguridad y Cultura Vial,Emblemático,Escuela de Movilidad Humana: Aprender para convivir.,Rehabilitación y mantenimiento comunitario de 500 km de caminos secundarios
EJE VIII.,72,Seguridad y Cultura Vial,Proyecto 4,"Eje V (Niñez, Adulto Mayor), Eje II (Salud Mental)",
EJE VIII.,72,Seguridad y Cultura Vial,Principal,Educación Vial Escolar,
EJE VIII.,72,Seguridad y Cultura Vial,Principal,Infraestructura Segura,
EJE VIII.,73,Movilidad Inclusiva y Accesibilidad Universal,Proyecto 4,"Eje V (Discapacidad), Eje IX (Ciudad humana), Eje I (Participación)",
EJE VIII.,73,Movilidad Inclusiva y Accesibilidad Universal,Principal,Transporte Accesible,
EJE VIII.,73,Movilidad Inclusiva y Accesibilidad Universal,Principal,Intervenciones de Rampa y Guías Podotáctiles,
EJE VIII.,74,Gestión Vehicular y Revisión Técnica Digital,Emblemático,Tu Auto en la Ciudad: Registro digital ciudadano.,"Plataforma digital para revisión técnica, rastreo y pago en línea de impuestos"
EJE VIII.,74,Gestión Vehicular y Revisión Técnica Digital,Emblemático,Rodamos Seguros: Centros móviles de inspección.,"Plataforma digital para revisión técnica, rastreo y pago en línea de impuestos"
EJE VIII.,74,Gestión Vehicular y Revisión Técnica Digital,Proyecto 4,"Eje I (Digitalización), Eje III (Innovación), Eje V (Seguridad)",
EJE VIII.,74,Gestión Vehicular y Revisión Técnica Digital,Principal,Plataforma Municipal de Vehículos,
EJE VIII.,74,Gestión Vehicular y Revisión Técnica Digital,Principal,Revisión Técnica Automatizada,
EJE VIII.,75,Centralidades Urbanas,Emblemático,"Mi Distrito, Mi Centro: Centralidades con Identidad.",
EJE VIII.,75,Centralidades Urbanas,Emblemático,Recuperemos la Calle: Espacios públicos para el encuentro.,
EJE VIII.,76,Cinvenios público - Privados para transpirte,Emblemático,Conduce con Propósito: Alianzas para movilidad humana.,
EJE VIII.,77,Movilidad Activa,Emblemático,Pedalea La Paz: Ciclorutas y bicibuses escolares.,
EJE IX.,78,Gestión Ambiental Integral Urbana,Emblemático,Guardianes Verdes: Brigadas comunitarias de reforestación.,"Plataforma de licencias ambientales, monitoreo e indicadores."
EJE IX.,78,Gestión Ambiental Integral Urbana,Proyecto 4,"Eje I (Transparencia), Eje VII (Catastro)",
EJE IX.,78,Gestión Ambiental Integral Urbana,Principal,Marco Normativo Ambiental,
EJE IX.,78,Gestión Ambiental Integral Urbana,Principal,Sistema de Licencias y Fiscalización,
EJE IX.,79,Áreas Verdes y Parques Urbanos,Proyecto 4,"Eje VI (Cultura), Eje V (Infancia), Eje VII (Ordenamiento)",
EJE IX.,79,Áreas Verdes y Parques Urbanos,Principal,Parques Renovados con Comunidades,
EJE IX.,79,Áreas Verdes y Parques Urbanos,Principal,Mantenimiento Participativo,
EJE IX.,80,Reforestación Participativa y Conservación Urbana,Emblemático,Respira La Paz: Campaña ciudadana de reforestación.,Plantación y cuidado comunitario de 1 millón de árboles.
EJE IX.,80,Reforestación Participativa y Conservación Urbana,Proyecto 4,"Eje V (Riesgos), Eje II (Salud), Eje X (Gobernanza)",
EJE IX.,80,Reforestación Participativa y Conservación Urbana,Principal,Red de Reforestación Barrial,
EJE IX.,80,Reforestación Participativa y Conservación Urbana,Principal,Jardines Escolares Comunitarios,
EJE IX.,81,Adaptación Climática Urbana y Gestión Hídrica,Emblemático,Escudos Verdes: Estrategia climática comunitaria.,"Microreservorios, jardines de lluvia, techos verdes, infiltración urbana."
EJE IX.,81,Adaptación Climática Urbana y Gestión Hídrica,Proyecto 4,"Eje II (Agua segura), Eje V (Gestión de Riesgos)",
EJE IX.,81,Adaptación Climática Urbana y Gestión Hídrica,Principal,Infraestructura de Drenaje Verde,
EJE IX.,81,Adaptación Climática Urbana y Gestión Hídrica,Principal,Reservorios de Agua Urbana,
EJE IX.,82,Energías Renovables y Eficiencia Energética,Emblemático,Ciudad Solar: Energía para la vida.,Paneles solares en 200 escuelas y edificios públicos.
EJE IX.,82,Energías Renovables y Eficiencia Energética,Proyecto 4,"Eje III (Educación), Eje I (Gestión municipal)",
EJE IX.,82,Energías Renovables y Eficiencia Energética,Principal,Techos Solares Municipales,
EJE IX.,82,Energías Renovables y Eficiencia Energética,Principal,Alumbrado Solar Distrital,
EJE IX.,83,Gestión Integral de Residuos Sólidos,Emblemático,Basura Cero: Comunidad que separa y reduce.,"Optimizar recolección, crear rutas diferenciadas y nuevo centro de tratamiento."
EJE IX.,83,Gestión Integral de Residuos Sólidos,Proyecto 4,"Eje IV (Empresas), Eje V (Salud), Eje VII (Logística)",
EJE IX.,83,Gestión Integral de Residuos Sólidos,Principal,Recolección Segregada,
EJE IX.,83,Gestión Integral de Residuos Sólidos,Principal,Nueva Planta de Tratamiento,
EJE IX.,84,Economía Circular y Reciclaje Inclusivo,Emblemático,Circular La Paz: Laboratorio de economía regenerativa.,"Plataforma de reciclaje con empresas, emprendedores y recicladores base."
EJE IX.,84,Economía Circular y Reciclaje Inclusivo,Emblemático,La Paz Recicla con Dignidad: Red de recicladores y educación urbana.,"Plataforma de reciclaje con empresas, emprendedores y recicladores base."
EJE IX.,84,Economía Circular y Reciclaje Inclusivo,Proyecto 4,"Eje IV (Empleo), Eje III (Innovación), Eje VI (Eventos)",
EJE IX.,84,Economía Circular y Reciclaje Inclusivo,Principal,Centros de Acopio con Recicladores,
EJE IX.,84,Economía Circular y Reciclaje Inclusivo,Principal,Ferias de Economía Circular,
EJE IX.,85,Centro Metropolitano de Residuos y Economía Verde,Emblemático,Parque Ecoindustrial del Reciclaje.,"Infraestructura compartida entre La Paz, El Alto y municipios del eje."
EJE IX.,85,Centro Metropolitano de Residuos y Economía Verde,Proyecto 4,"Eje X (Metropolitano), Eje IV (Empleo Verde)",
EJE IX.,85,Centro Metropolitano de Residuos y Economía Verde,Principal,Plataforma de Gestión Integral Metropol.,
EJE IX.,85,Centro Metropolitano de Residuos y Economía Verde,Principal,Compostaje y reciclaje industrial,
EJE IX.,86,Agricultura Urbana y Soberanía Alimentaria,Emblemático,Sembrando Futuro: Red de Huertas Ciudadanas.,"Crear 300 huertos escolares, barriales y en techos municipales."
EJE IX.,86,Agricultura Urbana y Soberanía Alimentaria,Proyecto 4,"Eje II (Salud), Eje IV (Mujeres), Eje VII (Espacio urbano)",
EJE IX.,86,Agricultura Urbana y Soberanía Alimentaria,Principal,Huertos Escolares y Vecinales,
EJE IX.,86,Agricultura Urbana y Soberanía Alimentaria,Principal,Circuitos Cortos Agroecológicos,
EJE IX.,87,Educación y Cultura Ambiental Comunitaria,Emblemático,Corredores Verdes Urbanos.,Activación de promotores ambientales en 100 unidades educativas.
EJE IX.,87,Educación y Cultura Ambiental Comunitaria,Proyecto 4,"Eje III (Educación), Eje V (Juventud), Eje VI (Cultura)",
EJE IX.,87,Educación y Cultura Ambiental Comunitaria,Principal,Escuelas Ambientales,
EJE IX.,87,Educación y Cultura Ambiental Comunitaria,Principal,Brigadas Climáticas Barriales,
EJE IX.,88,Biodiversidad Urbana y Protección de Fauna Silvestre,Emblemático,De la Tierra al Plato: Circuitos cortos y mercados saludables.,"Espacios de protección y conectividad para aves, zorros, roedores silvestres."
EJE IX.,88,Biodiversidad Urbana y Protección de Fauna Silvestre,Proyecto 4,"Eje X (Periurbano), Eje V (Protección animal)",
EJE IX.,88,Biodiversidad Urbana y Protección de Fauna Silvestre,Principal,Reservas Urbanas + Bioindicadores,
EJE IX.,88,Biodiversidad Urbana y Protección de Fauna Silvestre,Principal,Refugios y Santuarios,
EJE X.,89,Planes Metropolitanos de Desarrollo Urbano y Territorial,Emblemático,Gran La Paz Humana: Foro de Alcaldías y Ciudadanía Metropolitana.,"Hoja de ruta compartida con visión territorial, ambiental y económica."
EJE X.,89,Planes Metropolitanos de Desarrollo Urbano y Territorial,Proyecto 4,"Eje VII (Ordenamiento), Eje I (Gobernanza), Eje IX (Residuos)",
EJE X.,89,Planes Metropolitanos de Desarrollo Urbano y Territorial,Principal,POT Metropolitano Intermunicipal,
EJE X.,89,Planes Metropolitanos de Desarrollo Urbano y Territorial,Principal,Estrategia Metropolitana 2050,
EJE X.,90,Mancomunidades Productivas y Ambientales,Emblemático,Regiones que Producen Vida: Ferias mancomunadas y clústeres regionales.,"Apoyo a ferias, agroindustria, agricultura ecológica, con enfoque metropolitano."
EJE X.,90,Mancomunidades Productivas y Ambientales,Proyecto 4,"Eje IX (Agricultura), Eje IV (Empleo), Eje VI (Cultura)",
EJE X.,90,Mancomunidades Productivas y Ambientales,Principal,Circuitos Productivos Regionales,
EJE X.,90,Mancomunidades Productivas y Ambientales,Principal,Gestión de Cuencas Compartidas,
EJE X.,91,Centralidades Metropolitanas,Emblemático,Ej. Estación de >Faro Murillo,"Crear polos de cultura, comercio y movilidad en límites con El Alto, Achocalla."
EJE X.,91,Centralidades Metropolitanas,Proyecto 4,"Eje IV (Economía), Eje VIII (Movilidad), Eje VI (Turismo)",
EJE X.,91,Centralidades Metropolitanas,Principal,Distritos Binacionales La Paz–El Alto,
EJE X.,91,Centralidades Metropolitanas,Principal,Nodos de Desarrollo Urbano,
EJE X.,92,Cultura e Identidad Metropolitana,Emblemático,Ruta Metropolitana de las Culturas Vivas.,Activación de expresiones culturales mixtas entre La Paz y El Alto.
EJE X.,92,Cultura e Identidad Metropolitana,Proyecto 4,"Eje VI (Cultura), Eje V (Juventud)",
EJE X.,92,Cultura e Identidad Metropolitana,Principal,Encuentro Cultural Metropolitano,
EJE X.,92,Cultura e Identidad Metropolitana,Principal,Escuela de Identidad Metropolitana,
EJE X.,93,Gobernanza Metropolitana y Coordinación Intermunicipal,Emblemático,Mesa Metropolitana de Ciudadanía y Territorio.,Crear una instancia formal de coordinación con competencias delegadas.
EJE X.,93,Gobernanza Metropolitana y Coordinación Intermunicipal,Proyecto 4,"Eje I (Gestión Municipal), Eje IX (Servicios Ambientales)",
EJE X.,93,Gobernanza Metropolitana y Coordinación Intermunicipal,Principal,Consejo de Alcaldes Metropolitanos,
EJE X.,93,Gobernanza Metropolitana y Coordinación Intermunicipal,Principal,Agenda Legislativa Intermunicipal,
EJE X.,94,Gestión Metropolitana de Servicios Básicos y Ambientales,Proyecto 4,"Eje IX (Residuos), Eje II (Salud), Eje VII (Equipamiento)",
EJE X.,94,Gestión Metropolitana de Servicios Básicos y Ambientales,Principal,Convenio Residuos y Agua,
EJE X.,94,Gestión Metropolitana de Servicios Básicos y Ambientales,Principal,Sistemas Integrados de Alumbrado y Recolección,
EJE X.,95,Integración Metropolitana de Transporte y Logística,Proyecto 4,"Eje VIII (Movilidad), Eje I (Digitalización), Eje IV (Logística)",
EJE X.,95,Integración Metropolitana de Transporte y Logística,Principal,Red Integrada de Transporte Urbano,
EJE X.,95,Integración Metropolitana de Transporte y Logística,Principal,Tarifa Única Metropolitana,
EJE X.,96,Centro Metropolitano de Soluciones Urbanas – CEMSU,Proyecto 4,"Eje III (Innovación), Eje I (Planificación), Eje IX (Adaptación climática)",
EJE X.,96,Centro Metropolitano de Soluciones Urbanas – CEMSU,Principal,Plataforma Técnica Metropolitana,
EJE X.,96,Centro Metropolitano de Soluciones Urbanas – CEMSU,Principal,Centro de Datos Urbanos Compartidos,
EJE X.,97,Red Campo-Ciudad,Emblemático,1. Mercados Integradores Territoriales (MIT),
EJE X.,97,Red Campo-Ciudad,Emblemático,"Mercados urbanos semi-mayoristas o de consumo directo, gestionados junto a comunidades productoras, con trazabilidad, logística compartida y precios justos.",
EJE X.,97,Red Campo-Ciudad,Emblemático,2. App Campo-Ciudad,
EJE X.,97,Red Campo-Ciudad,Emblemático,"Una aplicación digital de comercio justo, logística compartida y consumo responsable que conecte productores rurales con familias urbanas, restaurantes y hoteles.",
EJE X.,97,Red Campo-Ciudad,Emblemático,3. Bancos de Insumos y Semillas Rurales,
EJE X.,97,Red Campo-Ciudad,Emblemático,"Centros urbanos que provean, en alianza con gobiernos locales, insumos, asistencia técnica, crédito rotativo y tecnología al sector rural.",
EJE X.,97,Red Campo-Ciudad,Emblemático,4. Escuelas Urbanas de Saberes Rurales,
EJE X.,97,Red Campo-Ciudad,Emblemático,"Espacios en la ciudad donde se enseñan oficios, técnicas ancestrales, producción agroecológica, cocina rural y cultura originaria. Fomentan el orgullo rural y el aprendizaje mutuo.",
EJE X.,97,Red Campo-Ciudad,Emblemático,5. Rutas del Origen,
EJE X.,97,Red Campo-Ciudad,Emblemático,"Circuitos turísticos y educativos entre barrios urbanos y comunidades rurales que promuevan identidad, turismo responsable y comercio directo.",
EJE X.,97,Red Campo-Ciudad,Emblemático,6. Centros de Acopio con Frío y Valor Agregado,
EJE X.,97,Red Campo-Ciudad,Emblemático,"Ubicados en el periurbano, permitirían industrializar productos rurales para generar empleo y aumentar el valor de exportación.",
EJE X.,97,Red Campo-Ciudad,Emblemático,7. Sistema de Transferencias Verdes Urbanas,
EJE X.,97,Red Campo-Ciudad,Emblemático,"Una parte del presupuesto municipal o distrital que se destine a la protección de cuencas, reforestación, agricultura sostenible o soberanía alimentaria en zonas rurales.",
EJE X.,99,Red de Apoyo municipal,Proyecto 1,Cooperativa de asesoramiento municipal,
