Código,Compromiso,Eje,Lugar,Proyecto sugerido,Programa,Nivel de encaje,Nota
C101,Eliminar el cobro de pasaje a los trabajadores del Pumakatari y crear la tarjeta de funcionario,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Finanzas Sanas,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Beneficio laboral operativo.
C102,Habilitar comedor/descanso y estacionamiento de motos para el personal del patio Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Servidores que Cuidan,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Comodidades de personal, operativo."
C103,Mejorar el sistema de carga de combustible en los patios del Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Logística interna de patios, operativo."
C104,Implementar el sistema integrado de transporte de La Paz,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Tarjeta Ciudad Humana: Transporte unificado y social,Sistema Integrado de Transporte Publico,Alto,"Sistema integrado de transporte, encaje directo."
C105,Evaluar y reestructurar las rutas deficitarias del Pumakatari,Ciudad Conectada,"Patio Pumakatari de Chasquipampa, La Paz",Rutas Integradas Inteligentes,Ordenamiento del Transporte Publico Colectivo,Alto,Reestructuración de rutas.
C106,Eliminar los cobros indebidos de prestaciones del SUS en el Hospital La Paz,Ciudad Vital,"Hospital Municipal La Paz, La Paz",Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Eliminación de cobros indebidos (SUS). | afinado: Eliminar cobros indebidos del SUS garantiza el acceso gratuito a la salud primaria.
C107,Reformular e incrementar el presupuesto del Hospital La Paz,Ciudad Vital,"Hospital Municipal La Paz, La Paz",Finanzas Sanas,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Presupuesto hospitalario operativo.
C108,Renovar el equipamiento obsoleto del Hospital La Paz,Ciudad Vital,"Hospital Municipal La Paz, La Paz",Clinicas de Vida: Salud donde vives,Salud Primaria Integral,Alto,Renovación de equipamiento hospitalario. | afinado: Renovar el equipamiento obsoleto reequipa el hospital de salud primaria.
C109,Digitalizar las historias clínicas del Hospital La Paz,Ciudad Vital,"Hospital Municipal La Paz, La Paz",Red de Salud Inteligente de Barrio,Salud Inteligente y Preventiva,Alto,Digitalización de historias clínicas.
C110,Auditar el uso del presupuesto de construcción del Hospital San Antonio,Ciudad Vital,"Hospital Municipal La Paz, La Paz",Control y Cuentas Claras,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Auditoría puntual.
C111,Implementar los hospitales móviles de salud preventiva para la mujer,Ciudad Vital,"Hospital Municipal La Paz, La Paz",Red de Salud Inteligente de Barrio,Salud Inteligente y Preventiva,Alto,Hospitales móviles de salud preventiva (mujer). | afinado: Los hospitales móviles de salud preventiva calzan en la salud inteligente y preventiva.
C112,Reponer la vía colapsada de Bajo Llojeta,Ciudad Planificada y Habitable,"Bajo Llojeta, La Paz",Proteccion de Areas de Riesgo,Gestion del Suelo y Asentamientos Seguros,Alto,Vía colapsada en zona de talud/río. | afinado: Reponer la vía colapsada en zona de talud/río es parte de la protección del área de riesgo.
C113,Disponer maquinaria y personal para la limpieza preventiva del río de Bajo Llojeta cada temporada de lluvias,Ciudad Planificada y Habitable,"Bajo Llojeta, La Paz",Infraestructura de Drenaje Verde,Adaptacion Climatica Urbana y Gestion Hidrica,Alto,Limpieza preventiva de río. | afinado: La limpieza preventiva del río mitiga el riesgo hidrológico: drenaje/adaptación climática.
C114,Ejecutar la intervención integral definitiva del talud y el río de Bajo Llojeta,Ciudad Planificada y Habitable,"Bajo Llojeta, La Paz",Intervencion de 180 Taludes,Seguridad Ciudadana con Comunidad,Alto,Intervención integral de talud y río (proyecto de taludes).
C115,Impedir nuevos asentamientos y notificar las construcciones en la zona de riesgo de Bajo Llojeta,Ciudad Planificada y Habitable,"Bajo Llojeta, La Paz",Proteccion de Areas de Riesgo,Gestion del Suelo y Asentamientos Seguros,Alto,Control de asentamientos en zona de riesgo.
C116,Evaluar el convenio con la cementera (SOBOCE) por el material aluvial de la limpieza de cabeceras,Ciudad Planificada y Habitable,"Bajo Llojeta, La Paz",Infraestructura de Drenaje Verde,Adaptacion Climatica Urbana y Gestion Hidrica,Alto,Manejo de material aluvial de cabeceras. | afinado: El manejo del material aluvial de cabeceras es parte de la gestión hídrica del drenaje.
C117,Retirar y reponer los bolardos viales dañados de la ciudad,Ciudad Conectada,"Achumani, La Paz",Regulacion del Espacio Publico,Parqueo y Control del Espacio Publico Vial,Alto,Mobiliario vial (bolardos). | afinado: Retirar y reponer bolardos regula y protege el espacio público vial.
C118,Remozar y mantener el parque de Achumani (áreas verdes y equipamiento),Ciudad Verde,"Achumani, La Paz",Parques Renovados con Comunidades,Areas Verdes y Parques Urbanos,Alto,Remozamiento de parque y áreas verdes.
C119,Controlar la velocidad de los camiones de áridos y extender el rompemuelles en Achumani,Ciudad Conectada,"Achumani, La Paz",La Via es Nuestra: Calles completas para todas las personas,Infraestructura Vial Estrategica,Alto,Control de velocidad y rompemuelles. | afinado: Controlar velocidad y extender rompemuelles es seguridad vial / calles completas.
C120,Inspeccionar y corregir el riesgo eléctrico del Colegio Chumán,Ciudad Planificada y Habitable,"Achumani, La Paz",Plan de Rehabilitacion Escolar,Infraestructura y Equipamiento Educativo,Alto,Riesgo eléctrico en colegio. | afinado: Corregir el riesgo eléctrico del colegio es rehabilitación escolar.
C121,Gestionar el cambio de nombre del parque Hermann Maynard,Ciudad Planificada y Habitable,"Achumani, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Trámite puntual (cambio de nombre).
C122,Separar los equipos de SLIM y DNA en las plataformas de atención,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Ciudad de La Mujer,Ciudad Segura para las Mujeres,Alto,Plataformas SLIM/DNA. | afinado: Separar los equipos SLIM/DNA especializa la atención a mujeres víctimas.
C123,Aumentar el personal de las defensorías vía convenios con universidades,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Ciudad de La Mujer,Ciudad Segura para las Mujeres,Alto,Personal de defensorías. | afinado: Aumentar el personal de las defensorías fortalece las plataformas de atención a la mujer.
C124,Dotar movilidad y combustible a las defensorías,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Dotación operativa (movilidad/combustible).
C125,Convertir los SLIM a atención 24/7 por equipos,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Ciudad de La Mujer,Ciudad Segura para las Mujeres,Alto,SLIM 24/7. | afinado: Convertir los SLIM a atención 24/7 amplía el servicio a mujeres víctimas.
C126,Trasladar la plataforma del Distrito 3 al inmueble recuperado de Nicolás Acosta,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Traslado operativo de plataforma.
C127,Gestionar un fiscal e investigador asignados a las plataformas SLIM,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Ciudad de La Mujer,Ciudad Segura para las Mujeres,Alto,Coordinación de justicia en plataformas. | afinado: Gestionar fiscal e investigador articula la justicia para víctimas en el SLIM.
C128,Digitalizar los casos de las defensorías,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Ciudad de La Mujer,Ciudad Segura para las Mujeres,Alto,Digitalización de casos de defensorías. | afinado: Digitalizar los casos fortalece la gestión de la atención a mujeres víctimas.
C129,Fortalecer los albergues y crear la red de protección para víctimas,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Ciudad de La Mujer,Ciudad Segura para las Mujeres,Alto,Albergues y red de protección de víctimas. | afinado: Fortalecer albergues y la red de protección atiende a las mujeres víctimas.
C130,Brindar contención psicológica al personal de las defensorías,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Servidores que Cuidan,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Contención psicológica al personal. | afinado: Contención psicológica al personal: bienestar laboral interno.
C131,Implementar el programa 'mujer a mujer' de acompañamiento a víctimas,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Ciudad de La Mujer,Ciudad Segura para las Mujeres,Alto,Programa mujer a mujer.
C132,Descentralizar el centro de terapia a las plataformas,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Centros Distritales de Salud Mental,Salud Mental Comunitaria,Alto,Descentralización de terapia. | afinado: Descentralizar el centro de terapia a las plataformas acerca la salud mental comunitaria.
C133,Implementar escuelas de padres y profesionales en las unidades educativas,Ciudad de Cuidados y Derechos,"Plataforma SLIM/DNA Distrito 3 (Nicolás Acosta), La Paz",Escuelas de Familias,Infancia y Adolescencia Protegida,Alto,Escuelas de padres.
C134,Instalar bolardos metálicos en la acera del Santuario del Gran Poder,Ciudad Conectada,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Regulacion del Espacio Publico,Parqueo y Control del Espacio Publico Vial,Alto,Bolardos peatonales. | afinado: Instalar bolardos protege la acera peatonal: regulación del espacio público vial.
C135,Aumentar el personal de la Intendencia Municipal para el control del comercio,Ciudad Productiva,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Servidores que Cuidan,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Control del comercio en vía (Intendencia). | afinado: Incremento de personal de la Intendencia: fortalecimiento operativo de control, no un proyecto."
C136,Instalar cámaras de seguridad y botones de pánico en la zona del Gran Poder,Ciudad de Cuidados y Derechos,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Barrios Seguros desde la Comunidad: Alarmas con vecinos y cultura de paz,Seguridad Ciudadana con Comunidad,Alto,Cámaras y botones de pánico.
C137,Revisar los garages de eventos con exceso de sonido en la Zona Rosa,Ciudad Planificada y Habitable,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Control puntual de ruido.
C138,Reparar las aceras de la ruta del Gran Poder por acción comunal con la asociación de carpinteros,Ciudad Conectada,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Caminabilidad Distrital,Movilidad Urbana Sostenible,Alto,Reparación de aceras. | afinado: Reparar aceras de la ruta del Gran Poder mejora la caminabilidad.
C139,Evaluar el cambio de ruta del Gran Poder por la Tumusla,Ciudad Cultural y Turística,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Cambio de ruta festiva, operativo."
C140,Fortalecer la guardia municipal,Ciudad de Cuidados y Derechos,"Zona Gran Poder (Ch'ijini), Max Paredes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Fortalecimiento de la guardia municipal. | afinado: Fortalecer la guardia municipal es fortalecimiento institucional/operativo, sin proyecto específico."
C141,Cerrar e inventariar con notario el complejo deportivo Luis Lastra,Ciudad Vital,"Complejo Deportivo Luis Lastra, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Inventario/cierre operativo.
C142,Auditar el manejo de la infraestructura deportiva Luis Lastra,Ciudad Vital,"Complejo Deportivo Luis Lastra, La Paz",Control y Cuentas Claras,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Auditoría puntual.
C143,Rehabilitar y reponer los servicios del complejo deportivo Luis Lastra,Ciudad Vital,"Complejo Deportivo Luis Lastra, La Paz",Barrio Activo: Circuitos deportivos barriales,Deporte para la Vida,Alto,Rehabilitación de complejo deportivo. | afinado: Rehabilitar el complejo Luis Lastra recupera infraestructura de deporte comunitario.
C144,Reasignar a la Dirección de Deportes el control de sus activos deportivos,Ciudad Vital,"Complejo Deportivo Luis Lastra, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Reasignación institucional.
C145,Regularizar el exceso de personal de EMAVERDE mediante jubilaciones,Ciudad Eficiente y Transparente,"EMAVERDE (planta central), Sopocachi, La Paz",Auditoria y Reingenieria de EMAVERDE/EMAVIAS,Empresas Publicas Eficientes,Alto,Regularización de personal de EMAVERDE.
C146,Dar de baja la maquinaria obsoleta de EMAVERDE,Ciudad Eficiente y Transparente,"EMAVERDE (planta central), Sopocachi, La Paz",Auditoria y Reingenieria de EMAVERDE/EMAVIAS,Empresas Publicas Eficientes,Alto,Baja de maquinaria de EMAVERDE.
C147,"Reponer los insumos, medicamentos y comida de la Casa de la Mascota y garantizar la cadena de frío",Ciudad de Cuidados y Derechos,"Casa de la Mascota (Villa San Antonio), La Paz",Patitas Seguras: Veterinarias comunitarias y adopcion responsable,Ciudad Protectora de Animales,Alto,Insumos de la Casa de la Mascota.
C148,Refaccionar la infraestructura de la Casa de la Mascota,Ciudad de Cuidados y Derechos,"Casa de la Mascota (Villa San Antonio), La Paz",Patitas Seguras: Veterinarias comunitarias y adopcion responsable,Ciudad Protectora de Animales,Alto,Refacción de la Casa de la Mascota.
C149,Auditar la gestión de la Casa de la Mascota y regularizar sus activos,Ciudad de Cuidados y Derechos,"Casa de la Mascota (Villa San Antonio), La Paz",Control y Cuentas Claras,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Auditoría de la Casa de la Mascota. | afinado: Auditoría de la gestión y regularización de activos: control interno, no ejecuta el proyecto de bienestar animal."
C150,Desburocratizar las denuncias e implementar la sanción directa en la Casa de la Mascota,Ciudad de Cuidados y Derechos,"Casa de la Mascota (Villa San Antonio), La Paz",Patitas Seguras: Veterinarias comunitarias y adopcion responsable,Ciudad Protectora de Animales,Alto,Denuncias y sanción de bienestar animal. | afinado: Desburocratizar denuncias y sanción directa mejora la protección animal.
C151,Reinstalar las cámaras y recalibrar la báscula del ex relleno de Mallasa,Ciudad Verde,"Ex relleno sanitario de Mallasa, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Control de ex relleno sanitario. | afinado: Reinstalar cámaras y recalibrar báscula de relleno clausurado: control operativo.
C152,Conformar y estabilizar los taludes y el lixiviado del ex relleno de Mallasa,Ciudad Verde,"Ex relleno sanitario de Mallasa, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Estabilización de taludes/lixiviado de relleno. | afinado: Estabilización de taludes/lixiviado de relleno clausurado: remediación sin proyecto específico en el catálogo.
C153,Restaurar el ex relleno de Mallasa como santuario de avifauna y área verde recreativa,Ciudad Verde,"Ex relleno sanitario de Mallasa, La Paz",Reservas Urbanas + Bioindicadores,Biodiversidad Urbana y Proteccion de Fauna Silvestre,Alto,Restauración de relleno como santuario de avifauna.
C154,Auditar el proyecto del puente de Aranjuez,Ciudad Conectada,"Puente de Aranjuez, La Paz",Control y Cuentas Claras,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Auditoría de obra de puente. | afinado: Auditoría de una obra: acción de control interno.
C155,Resolver la accesibilidad y la conectividad del puente de Aranjuez,Ciudad Conectada,"Puente de Aranjuez, La Paz",Vias Distritales de Conexion,Infraestructura Vial Estrategica,Alto,Accesibilidad/conectividad de puente.
C156,Evaluar y reforzar el puente antiguo de Aranjuez,Ciudad Conectada,"Puente de Aranjuez, La Paz",Vias Distritales de Conexion,Infraestructura Vial Estrategica,Alto,Refuerzo de puente.
C157,Actualizar el plan de manejo e implementar la identificación de los animales del bioparque Vesty Pakos,Ciudad Verde,"Bioparque Municipal Vesty Pakos, Mallasa, La Paz",Refugios y Santuarios,Biodiversidad Urbana y Proteccion de Fauna Silvestre,Alto,Plan de manejo del bioparque.
C158,Mejorar el bienestar animal del bioparque Vesty Pakos (hábitat de pumas y jaulas de aves),Ciudad Verde,"Bioparque Municipal Vesty Pakos, Mallasa, La Paz",Refugios y Santuarios,Biodiversidad Urbana y Proteccion de Fauna Silvestre,Alto,Bienestar animal del bioparque.
C159,Crear rutas accesibles diferenciadas y áreas de descanso en el bioparque Vesty Pakos,Ciudad Verde,"Bioparque Municipal Vesty Pakos, Mallasa, La Paz","Ruta Inclusiva: Calles, plazas y servicios para todos.",Ciudad Inclusiva con Discapacidad,Alto,"Accesibilidad del bioparque. | afinado: Rutas accesibles y áreas de descanso responden a accesibilidad universal, no a refugios de fauna."
C160,Retomar el convenio con la ONG WCS para el bioparque Vesty Pakos,Ciudad Verde,"Bioparque Municipal Vesty Pakos, Mallasa, La Paz",Refugios y Santuarios,Biodiversidad Urbana y Proteccion de Fauna Silvestre,Alto,Convenio de conservación del bioparque. | afinado: Retomar el convenio con la ONG conserva la fauna del bioparque.
C161,Evaluar la efectividad de la intervención geotécnica de Pampajasí antes de nuevas inversiones,Ciudad Planificada y Habitable,"Cancha Venus, Pampajasí, La Paz",Intervencion de 180 Taludes,Seguridad Ciudadana con Comunidad,Alto,Evaluación de intervención geotécnica (talud).
C162,"Reponer las afectaciones de la obra en Pampajasí (vía, cámaras, viviendas y cableado)",Ciudad Conectada,"Cancha Venus, Pampajasí, La Paz",Vias Distritales de Conexion,Infraestructura Vial Estrategica,Alto,Reposición de vía/servicios post-obra. | afinado: Reponer vía y servicios tras la obra en Pampajasí es infraestructura vial distrital.
C163,Estabilizar e intervenir la cancha Venus (césped sintético e iluminación) y apoyar las escuelas de fútbol,Ciudad Vital,"Cancha Venus, Pampajasí, La Paz",Barrio Activo: Circuitos deportivos barriales,Deporte para la Vida,Alto,Intervención de cancha barrial. | afinado: Intervenir la cancha Venus y apoyar escuelas de fútbol es deporte comunitario.
C164,"Establecer inspecciones permanentes de control de precio, peso y calidad en los mercados",Ciudad Productiva,"Mercado Rodríguez, La Paz",Brigadas de Control de Abusos,Defensa del Consumidor,Alto,Control de precio/peso/calidad en mercados.
C165,Coordinar con las empresas de la canasta básica el abastecimiento y la distribución a mayoristas,Ciudad Productiva,"Mercado Rodríguez, La Paz",Empresa de Alimentos Populares,Nuevas Empresas Mixtas,Alto,Abastecimiento de canasta básica. | afinado: Coordinar el abastecimiento de la canasta básica sostiene la empresa de alimentos populares.
C166,Reubicar el contenedor de basura del Mercado Rodríguez que contamina los alimentos,Ciudad Verde,"Mercado Rodríguez, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Reubicación de contenedor de basura en mercado. | afinado: Reubicación puntual de un contenedor: acción operativa.
C167,Ampliar el horario del Mercado El Tejar en temporada de frutas,Ciudad Productiva,"Mercado El Tejar, Max Paredes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Gestión de horarios de mercado. | afinado: Ampliación de horario de mercado: decisión de gestión operativa.
C168,Implementar el plan 'Mercados Dignos' con ferias del productor al consumidor,Ciudad Productiva,"Mercado El Tejar, Max Paredes, La Paz","Mi Mercado, Mi Comunidad: Red de Mercados Dignos",Mercados y Comercio Digno,Alto,"Plan Mercados Dignos, encaje directo."
C169,Resolver los 400 trámites parados en la Subalcaldía Sur,Ciudad Eficiente y Transparente,"Subalcaldía Sur / Piscina de Obrajes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Destrabe/digitalización de trámites. | afinado: Destrabe operativo de trámites acumulados: gestión administrativa.
C170,Renovar el equipamiento informático y las movilidades de la Subalcaldía Sur,Ciudad Eficiente y Transparente,"Subalcaldía Sur / Piscina de Obrajes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Equipamiento operativo de subalcaldía.
C171,Dar mantenimiento al edificio patrimonial de la Subalcaldía Sur,Ciudad Eficiente y Transparente,"Subalcaldía Sur / Piscina de Obrajes, La Paz",Mejoras en zonas patrimoniales,Rehabilitacion de Barrios Historicos,Alto,Mantenimiento de edificio patrimonial. | afinado: Mantener el edificio patrimonial de la subalcaldía interviene una zona patrimonial.
C172,Dotar botiquín y equipamiento de seguridad a la Piscina de Obrajes,Ciudad Vital,"Subalcaldía Sur / Piscina de Obrajes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Dotación de botiquín operativo.
C173,Destrabar los trámites parados en la Subalcaldía Max Paredes,Ciudad Eficiente y Transparente,"Subalcaldía Max Paredes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Destrabe de trámites de subalcaldía. | afinado: Destrabe operativo de trámites acumulados: gestión administrativa.
C174,Entregar los textos escolares retenidos y regularizar el archivo de la Subalcaldía Max Paredes,Ciudad Eficiente y Transparente,"Subalcaldía Max Paredes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Gestión operativa de archivo/entrega.
C175,Ejecutar la intervención urgente del riesgo geotécnico en la avenida América (Max Paredes),Ciudad Planificada y Habitable,"Subalcaldía Max Paredes, La Paz",Intervencion de 180 Taludes,Seguridad Ciudadana con Comunidad,Alto,Intervención de riesgo geotécnico.
C176,Programar el lavado y la limpieza integral del Mercado Uruguay,Ciudad Productiva,"Subalcaldía Max Paredes, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Limpieza integral de mercado. | afinado: Lavado/limpieza integral de mercado: mantenimiento operativo.
C177,Ejecutar el mantenimiento integral de las paradas del Pumakatari,Ciudad Conectada,"SETRAM (Parque Urbano Central), La Paz",Paradas Seguras y Digitalizadas,Logistica Urbana Inteligente,Alto,Mantenimiento de paradas del Pumakatari.
C178,"Desarrollar los sistemas internos del SETRAM (flota, combustible y trámites)",Ciudad Conectada,"SETRAM (Parque Urbano Central), La Paz",Municipio Inteligente y Humano.,Transformación Digital Ciudadana,Alto,"Sistemas internos del SETRAM. | afinado: Los sistemas internos del SETRAM (flota, combustible, trámites) son digitalización de la gestión, no ordenamiento de rutas."
C179,Regularizar y digitalizar el archivo y los activos del SETRAM,Ciudad Conectada,"SETRAM (Parque Urbano Central), La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Gestión interna de archivo/activos.
C180,Reparar el muro colapsado que infiltra las fundaciones del edificio del Mercado Camacho,Ciudad Planificada y Habitable,"Mercado Camacho, La Paz","Mi Mercado, Mi Comunidad: Red de Mercados Dignos",Mercados y Comercio Digno,Alto,Muro/estructura de edificio de mercado. | afinado: Reparar el muro que infiltra las fundaciones dignifica y protege el edificio del mercado.
C181,"Mejorar los servicios de atención del edificio del Mercado Camacho (adulto mayor, guardería y discapacidad)",Ciudad de Cuidados y Derechos,"Mercado Camacho, La Paz",Tejiendo Cuidados: Espacios de encuentro entre generaciones.,Redes de Cuidado Intergeneracional,Alto,"Servicios de cuidado (adulto mayor/guardería). | afinado: El edificio presta servicios de cuidado a varias poblaciones (adulto mayor, guardería, discapacidad): redes de cuidado."
C182,Rehabilitar y poner en funcionamiento el albergue municipal de la calle Chuquisaca,Ciudad de Cuidados y Derechos,"Albergue municipal de la calle Chuquisaca, La Paz",Casas de Proteccion Integral,Infancia y Adolescencia Protegida,Alto,Albergue municipal (situación de calle). | afinado: Rehabilitar y abrir el albergue municipal brinda protección a población en situación de calle.
C183,Corregir el sistema de atención de la línea de emergencia contra la violencia,Ciudad de Cuidados y Derechos,"Albergue municipal de la calle Chuquisaca, La Paz",Alertas Comunitarias contra la Violencia,Red Distrital de Justicia y Mediacion Barrial,Alto,Línea de emergencia contra la violencia. | afinado: Corregir la línea de emergencia contra la violencia es alerta comunitaria contra la violencia.
C184,"Habilitar un albergue de invierno de emergencia para mujeres, niños y personas en situación de calle",Ciudad de Cuidados y Derechos,"Albergue municipal de la calle Chuquisaca, La Paz",Casas de Proteccion Integral,Infancia y Adolescencia Protegida,Alto,"Albergue de invierno (situación de calle). | afinado: Habilitar el albergue de invierno protege a mujeres, niños y personas en situación de calle."
C185,Renovar el equipamiento de trabajo y adecuar el almacén de la Subalcaldía Centro,Ciudad Eficiente y Transparente,"Subalcaldía Centro, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Equipamiento operativo de almacén.
C186,Reutilizar las luminarias y bolardos obsoletos de la Subalcaldía Centro,Ciudad Conectada,"Subalcaldía Centro, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,"Reutilización de material, operativo."
C187,Reparar las aceras de Miraflores por acción comunal con los vecinos,Ciudad Conectada,"Subalcaldía Centro, La Paz",Caminabilidad Distrital,Movilidad Urbana Sostenible,Alto,Reparación de aceras por acción comunal. | afinado: Reparar aceras de Miraflores mejora la caminabilidad.
C188,"Modernizar la Terminal de Buses (señalética, imagen institucional y digitalización de tickets)",Ciudad Conectada,"Terminal de Buses, La Paz",Terminal Inteligente Metropolitana,Control del Transporte Interciudad y Fronteras Urbanas,Alto,Modernización de la Terminal de Buses.
C189,Regularizar los bienes donados y completar la videovigilancia de la Terminal de Buses,Ciudad Conectada,"Terminal de Buses, La Paz",Terminal Inteligente Metropolitana,Control del Transporte Interciudad y Fronteras Urbanas,Alto,Videovigilancia de la terminal. | afinado: Regularizar bienes y completar videovigilancia moderniza la terminal metropolitana.
C190,Rehabilitar y abrir el albergue Zenobio López para personas en situación de calle,Ciudad de Cuidados y Derechos,"Terminal de Buses, La Paz",Casas de Proteccion Integral,Infancia y Adolescencia Protegida,Alto,Albergue para personas en situación de calle. | afinado: Rehabilitar y abrir el albergue Zenobio López protege a personas en situación de calle.
C191,"Extender el programa de alimentación a personas en situación de calle, adultos mayores y de bajos recursos",Ciudad de Cuidados y Derechos,"Terminal de Buses, La Paz",Alimentación Solidaria,Seguridad Alimentaria,Alto,"Alimentación a poblaciones vulnerables. | afinado: Programa de alimentación para varias poblaciones vulnerables (calle, adulto mayor, bajos recursos): no calza en un proyecto único del catálogo. | resuelto 06-ago (confirmado)"
C192,Resolver la situación laboral de los trabajadores del relleno de Alpacoma,Ciudad Verde,"Relleno sanitario de Alpacoma / Saka Churu, La Paz",Servidores que Cuidan,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Situación laboral de trabajadores del relleno. | afinado: Resolución de la situación laboral de trabajadores: asunto administrativo/interno.
C193,"Implementar el control de peso, calidad y humedad de los residuos en el relleno de Alpacoma",Ciudad Verde,"Relleno sanitario de Alpacoma / Saka Churu, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Control de peso/calidad de residuos. | afinado: Control operativo de peso/calidad de residuos en el relleno: gestión operativa.
C194,"Ejecutar el mantenimiento, la estabilización y las obras urgentes del relleno de Alpacoma",Ciudad Verde,"Relleno sanitario de Alpacoma / Saka Churu, La Paz",Casa Ordenada,Fortalecimiento Institucional y Gestión Interna (paraguas CMI),Paraguas,Obras de estabilización del relleno. | afinado: Mantenimiento y obras de un relleno clausurado: remediación sin proyecto específico en el catálogo.
