Eje,Nº Programa,Programa,Proyecto,Objetivo (matriz),Tipo (estratégico/general/fortalecimiento),Objetivo del proyecto,"Meta (medible, con cantidad y fecha)",Indicador(es),Resultado 2030,Responsable principal (MOF),Concurrentes (multi-secretaría),Presupuesto estimado (Bs),Fuente de financiamiento,¿Va al Concejo?,RICE Alcance,RICE Impacto (0.25-3),RICE Confianza (%),RICE Esfuerzo (persona-mes),RICE Puntaje,Plazo / hito principal,Actividades (resumen),Compromisos vinculados (C###)
EJE VI.,49,Infraestructura Cultural y Recreativa,Centros Culturales Barriales,,,,,,,,,,,,,,,,,,,
EJE VI.,50,Economía Creativa y Naranja,Fondo Cultural Ciudad Humana.,"Portal, ferias, créditos y formación para industrias culturales.",,,,,,,,,,,,,,,,,,
EJE VI.,50,Economía Creativa y Naranja,"Eje IV (Emprendimiento), Eje III (Innovación)",,,,,,,,,,,,,,,,,,,
EJE VI.,50,Economía Creativa y Naranja,Red de Industrias Culturales,,,,,,,,,,,,,,,,,,,
EJE VI.,50,Economía Creativa y Naranja,Mercado Digital para Creadores,,,,,,,,,,,,,,,,,,,
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Mercados con Identidad: Cultura en la Canasta.,"Activaciones culturales, festivales, murales, teatro callejero por zonas.",,,,,,,,,,,,,,,,,,
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Caseritas de la Vida,,,,,,,,,,,,,,,,,,,
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Barrios Culturales,,,,,,,,,,,,,,,,,,,
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,La noche Blanca,,,,,,,,,,,,,,,,,,,
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,"Eje V (Identidad), Eje X (Mancomunidad), Eje IX (Espacios verdes)",,,,,,,,,,,,,,,,,,,
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Laboratorios de Cultura Viva,,,,,,,,,,,,,,,,,,,
EJE VI.,51,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Escuela de Memoria Barrial,,,,,,,,,,,,,,,,,,,
EJE VII.,52,Planificación Territorial y Urbanismo Eficiente,Mapa Vivo de la Ciudad: Planificación desde la comunidad.,Actualización y aplicación del Plan de Ordenamiento Territorial por distritos,,,,,,,,,,,,,,,,,,
EJE VII.,52,Planificación Territorial y Urbanismo Eficiente,"Eje I (Normativa), Eje IX (Clima)",,,,,,,,,,,,,,,,,,,
EJE VII.,52,Planificación Territorial y Urbanismo Eficiente,Plan de Ordenamiento Territorial,,,,,,,,,,,,,,,,,,,
EJE VII.,52,Planificación Territorial y Urbanismo Eficiente,Planes Distritales Territoriales,,,,,,,,,,,,,,,,,,,
EJE VII.,53,Habitat Digno y Vivienda Social,Techo con Sentido: Vivienda para la vida.,"Construcción de 2.000 unidades bajo modelos de autoconstrucción asistida, cooperativas y alianzas",,,,,,,,,,,,,,,,,,
EJE VII.,53,Habitat Digno y Vivienda Social,"Eje V (Discapacidad, Adulto Mayor), Eje I",,,,,,,,,,,,,,,,,,,
EJE VII.,53,Habitat Digno y Vivienda Social,Programa de Rehabilitación de Barrios Populares,,,,,,,,,,,,,,,,,,,
EJE VII.,53,Habitat Digno y Vivienda Social,Alquiler Social,,,,,,,,,,,,,,,,,,,
EJE VII.,54,Catastro Moderno y Justicia Urbana,Tu Terreno Cuenta: Regularización con justicia social.,Digitalización del 100% de predios urbanos y rurales con enfoque multipropósito,,,,,,,,,,,,,,,,,,
EJE VII.,54,Catastro Moderno y Justicia Urbana,"Eje I (Tributación), Eje III (Tecnología)",,,,,,,,,,,,,,,,,,,
EJE VII.,54,Catastro Moderno y Justicia Urbana,Catastro Digital Territorial,,,,,,,,,,,,,,,,,,,
EJE VII.,54,Catastro Moderno y Justicia Urbana,Mapeo de Infraestructura y Servicios,,,,,,,,,,,,,,,,,,,
EJE VII.,55,Gestión del Suelo y Asentamientos Seguros,"Barrios Reconocidos, Barrios Cuidados.",Regularización y contención territorial con servicios básicos en zonas priorizadas,,,,,,,,,,,,,,,,,,
EJE VII.,55,Gestión del Suelo y Asentamientos Seguros,"Eje IX (Riesgos), Eje II (Salud)",,,,,,,,,,,,,,,,,,,
EJE VII.,55,Gestión del Suelo y Asentamientos Seguros,Programa de Regularización con Seguridad,,,,,,,,,,,,,,,,,,,
EJE VII.,55,Gestión del Suelo y Asentamientos Seguros,Protección de Áreas de Riesgo,,,,,,,,,,,,,,,,,,,
EJE VII.,56,Prevención de Riesgos Urbanos,Ciudad Alerta: Simulacros y preparación comunitaria ante riesgos.,"Formación, alarmas, simulacros, mapas participativos de riesgo.",,,,,,,,,,,,,,,,,,
EJE VII.,56,Prevención de Riesgos Urbanos,"Eje III (Tecnología), Eje I (Planificación)",,,,,,,,,,,,,,,,,,,
EJE VII.,56,Prevención de Riesgos Urbanos,Sensores + Centro de Monitoreo,,,,,,,,,,,,,,,,,,,
EJE VII.,56,Prevención de Riesgos Urbanos,Aplicación de Alerta Temprana,,,,,,,,,,,,,,,,,,,
EJE VII.,57,Sistema Inteligente de Monitoreo de Riesgos,Red de Vigilantes del Territorio.,"Plataforma con sensores, cámaras, big data y equipos en campo.",,,,,,,,,,,,,,,,,,
EJE VII.,57,Sistema Inteligente de Monitoreo de Riesgos,"Eje II (Salud Mental), Eje IV (Economía Solidaria)",,,,,,,,,,,,,,,,,,,
EJE VII.,57,Sistema Inteligente de Monitoreo de Riesgos,Casas Distritales de Cuidados,,,,,,,,,,,,,,,,,,,
EJE VII.,57,Sistema Inteligente de Monitoreo de Riesgos,Voluntariado Solidario,,,,,,,,,,,,,,,,,,,
EJE VII.,58,Equipamiento y Servicios Urbanos,Equipamos La Paz: Infraestructura con propósito humano.,Plataforma y plan maestro de equipamientos para garantizar cobertura por distrito,,,,,,,,,,,,,,,,,,
EJE VII.,58,Equipamiento y Servicios Urbanos,"Eje II (Salud), Eje VIII (Movilidad)",,,,,,,,,,,,,,,,,,,
EJE VII.,58,Equipamiento y Servicios Urbanos,Infraestructura de Centros de Salud y Educación,,,,,,,,,,,,,,,,,,,
EJE VII.,58,Equipamiento y Servicios Urbanos,Equipamiento de Barrios Periurbanos,,,,,,,,,,,,,,,,,,,
EJE VII.,59,Rehabilitación de Barrios Históricos,Barrios con Historia Viva: Rehabilitación urbana participativa.,"Renovación de 100 cuadras del centro histórico: fachadas, iluminación, mobiliario",,,,,,,,,,,,,,,,,,
EJE VII.,59,Rehabilitación de Barrios Históricos,"Eje VI (Cultura), Eje X (Turismo)",,,,,,,,,,,,,,,,,,,
EJE VII.,59,Rehabilitación de Barrios Históricos,Intervención de Calle Jaén y alrededores,,,,,,,,,,,,,,,,,,,
EJE VII.,59,Rehabilitación de Barrios Históricos,Mejoras en zonas patrimoniales,,,,,,,,,,,,,,,,,,,
EJE VII.,60,Barrios Comunitarios Autogestionados,"Hábitat Humano: Vivienda, comunidad y naturaleza.",Fondos concursables y capacitación técnica por zona urbana,,,,,,,,,,,,,,,,,,
EJE VII.,60,Barrios Comunitarios Autogestionados,"Eje I (Participación), Eje IV",,,,,,,,,,,,,,,,,,,
EJE VII.,60,Barrios Comunitarios Autogestionados,Planes Participativos de Mejoramiento,,,,,,,,,,,,,,,,,,,
EJE VII.,60,Barrios Comunitarios Autogestionados,Fondos Concursables Vecinales,,,,,,,,,,,,,,,,,,,
EJE VII.,61,Regeneración y Mejora Integral de Barrios,"Eje IX (Espacio público), Eje V",,,,,,,,,,,,,,,,,,,
EJE VII.,61,Regeneración y Mejora Integral de Barrios,"Intervenciones integrales: iluminación, escaleras, calles",,,,,,,,,,,,,,,,,,,
EJE VII.,62,Hábitat Verde y Urbanismo Ecosistémico,"Eje IX (Ambiente), Eje II",,,,,,,,,,,,,,,,,,,
EJE VII.,62,Hábitat Verde y Urbanismo Ecosistémico,Parques Barriales Resilientes,,,,,,,,,,,,,,,,,,,
EJE VII.,62,Hábitat Verde y Urbanismo Ecosistémico,Infraestructura Verde en barrios,,,,,,,,,,,,,,,,,,,
EJE VII.,63,"Red Distrital de Justicia y Mediación Barrial
“Derechos cerca de casa.”","Eje I, II, IV, VI, VII",,,,,,,,,,,,,,,,,,,
EJE VII.,63,"Red Distrital de Justicia y Mediación Barrial
“Derechos cerca de casa.”",Calles Seguras para Ellas,,,,,,,,,,,,,,,,,,,
EJE VII.,63,"Red Distrital de Justicia y Mediación Barrial
“Derechos cerca de casa.”",Alertas Comunitarias contra la Violencia,,,,,,,,,,,,,,,,,,,
EJE VIII.,64,Movilidad Urbana Sostenible,Muévete La Paz: Red multimodal sostenible.,"120 km de rutas peatonales y ciclorrutas seguras, con infraestructura inclusiva.",,,,,,,,,,,,,,,,,,
EJE VIII.,64,Movilidad Urbana Sostenible,"Eje II (Salud), Eje IX (Clima), Eje V (Discapacidad)",,,,,,,,,,,,,,,,,,,
EJE VIII.,64,Movilidad Urbana Sostenible,Caminabilidad Distrital,,,,,,,,,,,,,,,,,,,
EJE VIII.,64,Movilidad Urbana Sostenible,Red de Ciclorrutas,,,,,,,,,,,,,,,,,,,
EJE VIII.,65,Sistema Integrado de Transporte Público,Tarjeta Ciudad Humana: Transporte unificado y social.,5 líneas de teleférico + tren urbano central + billetera digital unificada,,,,,,,,,,,,,,,,,,
EJE VIII.,65,Sistema Integrado de Transporte Público,"Eje I (Financiamiento), Eje X (Metropolitano), Eje VI (Cultura)",,,,,,,,,,,,,,,,,,,
EJE VIII.,65,Sistema Integrado de Transporte Público,Teleféricos Movilivida,,,,,,,,,,,,,,,,,,,
EJE VIII.,65,Sistema Integrado de Transporte Público,Tren Urbano Central,,,,,,,,,,,,,,,,,,,
EJE VIII.,66,Ordenamiento del Transporte Público Colectivo,"Eje V (Seguridad), Eje IV (Empleo), Eje I (Gestión)",,,,,,,,,,,,,,,,,,,
EJE VIII.,66,Ordenamiento del Transporte Público Colectivo,Rutas Integradas Inteligentes,,,,,,,,,,,,,,,,,,,
EJE VIII.,66,Ordenamiento del Transporte Público Colectivo,Formalización del Transporte Popular,,,,,,,,,,,,,,,,,,,
EJE VIII.,67,Logística Urbana Inteligente,Ciudad que Se Mueve: Red de Distribución Urbana Sostenible.,"Adaptación de estaciones, aceras, señalética y vehículos accesibles",,,,,,,,,,,,,,,,,,
EJE VIII.,67,Logística Urbana Inteligente,"Eje VII (Vialidad), Eje IV (Comercio), Eje III (Tecnología)",,,,,,,,,,,,,,,,,,,
EJE VIII.,67,Logística Urbana Inteligente,Paradas Seguras y Digitalizadas,,,,,,,,,,,,,,,,,,,
EJE VIII.,67,Logística Urbana Inteligente,Semáforos y Sensores de Flujo Vehicular,,,,,,,,,,,,,,,,,,,
EJE VIII.,68,Infraestructura Vial Estratégica,La Vía es Nuestra: Calles completas para todas las personas.,"Intervención en 70 zonas críticas: señalización, carga-descarga, cámaras, mobiliario vial",,,,,,,,,,,,,,,,,,
EJE VIII.,68,Infraestructura Vial Estratégica,"Eje VII (Equipamiento), Eje IX (Territorio), Eje X (Integración)",,,,,,,,,,,,,,,,,,,
EJE VIII.,68,Infraestructura Vial Estratégica,Vías Distritales de Conexión,,,,,,,,,,,,,,,,,,,
EJE VIII.,68,Infraestructura Vial Estratégica,Intervenciones en Cuellos de Botella,,,,,,,,,,,,,,,,,,,
EJE VIII.,69,Parqueo y Control del Espacio Público Vial,Parqueo Inteligente y Vecinal.,10 centros de parqueo vertical + fiscalización digital de uso de aceras y vías,,,,,,,,,,,,,,,,,,
EJE VIII.,69,Parqueo y Control del Espacio Público Vial,"Eje I (Ordenamiento), Eje VI (Convivencia), Eje VII (Catastro)",,,,,,,,,,,,,,,,,,,
EJE VIII.,69,Parqueo y Control del Espacio Público Vial,Red de Parqueos Municipales,,,,,,,,,,,,,,,,,,,
EJE VIII.,69,Parqueo y Control del Espacio Público Vial,Regulación del Espacio Público,,,,,,,,,,,,,,,,,,,
EJE VIII.,70,Control del Transporte Interciudad y Fronteras Urbanas,Terminal Inteligente Metropolitana.,Estaciones de fiscalización conjunta La Paz – El Alto con sensores y registro,,,,,,,,,,,,,,,,,,
EJE VIII.,70,Control del Transporte Interciudad y Fronteras Urbanas,"Eje X (Gobernanza), Eje I (Gestión), Eje IV (Logística)",,,,,,,,,,,,,,,,,,,
EJE VIII.,70,Control del Transporte Interciudad y Fronteras Urbanas,Terminales Metropolitanas,,,,,,,,,,,,,,,,,,,
EJE VIII.,70,Control del Transporte Interciudad y Fronteras Urbanas,Puntos de Control y Fiscalización,,,,,,,,,,,,,,,,,,,
EJE VIII.,71,Caminos Distritales y Rurales,Guardianes de la Movilidad: Patrullas cívicas con formación ciudadana.,,,,,,,,,,,,,,,,,,,
EJE VIII.,71,Caminos Distritales y Rurales,"Eje IX (Productivo rural), Eje VII (Vivienda), Eje II (Emergencias)",,,,,,,,,,,,,,,,,,,
EJE VIII.,71,Caminos Distritales y Rurales,Mantenimiento Preventivo Distrital,,,,,,,,,,,,,,,,,,,
EJE VIII.,71,Caminos Distritales y Rurales,Caminos Rurales de Conexión,,,,,,,,,,,,,,,,,,,
EJE VIII.,72,Seguridad y Cultura Vial,Escuela de Movilidad Humana: Aprender para convivir.,Rehabilitación y mantenimiento comunitario de 500 km de caminos secundarios,,,,,,,,,,,,,,,,,,
EJE VIII.,72,Seguridad y Cultura Vial,"Eje V (Niñez, Adulto Mayor), Eje II (Salud Mental)",,,,,,,,,,,,,,,,,,,
EJE VIII.,72,Seguridad y Cultura Vial,Educación Vial Escolar,,,,,,,,,,,,,,,,,,,
EJE VIII.,72,Seguridad y Cultura Vial,Infraestructura Segura,,,,,,,,,,,,,,,,,,,
EJE VIII.,73,Movilidad Inclusiva y Accesibilidad Universal,"Eje V (Discapacidad), Eje IX (Ciudad humana), Eje I (Participación)",,,,,,,,,,,,,,,,,,,
EJE VIII.,73,Movilidad Inclusiva y Accesibilidad Universal,Transporte Accesible,,,,,,,,,,,,,,,,,,,
EJE VIII.,73,Movilidad Inclusiva y Accesibilidad Universal,Intervenciones de Rampa y Guías Podotáctiles,,,,,,,,,,,,,,,,,,,
EJE VIII.,74,Gestión Vehicular y Revisión Técnica Digital,Tu Auto en la Ciudad: Registro digital ciudadano.,"Plataforma digital para revisión técnica, rastreo y pago en línea de impuestos",,,,,,,,,,,,,,,,,,
EJE VIII.,74,Gestión Vehicular y Revisión Técnica Digital,Rodamos Seguros: Centros móviles de inspección.,"Plataforma digital para revisión técnica, rastreo y pago en línea de impuestos",,,,,,,,,,,,,,,,,,
EJE VIII.,74,Gestión Vehicular y Revisión Técnica Digital,"Eje I (Digitalización), Eje III (Innovación), Eje V (Seguridad)",,,,,,,,,,,,,,,,,,,
EJE VIII.,74,Gestión Vehicular y Revisión Técnica Digital,Plataforma Municipal de Vehículos,,,,,,,,,,,,,,,,,,,
EJE VIII.,74,Gestión Vehicular y Revisión Técnica Digital,Revisión Técnica Automatizada,,,,,,,,,,,,,,,,,,,
EJE VIII.,75,Centralidades Urbanas,"Mi Distrito, Mi Centro: Centralidades con Identidad.",,,,,,,,,,,,,,,,,,,
EJE VIII.,75,Centralidades Urbanas,Recuperemos la Calle: Espacios públicos para el encuentro.,,,,,,,,,,,,,,,,,,,
EJE VIII.,76,Cinvenios público - Privados para transpirte,Conduce con Propósito: Alianzas para movilidad humana.,,,,,,,,,,,,,,,,,,,
EJE VIII.,77,Movilidad Activa,Pedalea La Paz: Ciclorutas y bicibuses escolares.,,,,,,,,,,,,,,,,,,,
EJE IX.,78,Gestión Ambiental Integral Urbana,Guardianes Verdes: Brigadas comunitarias de reforestación.,"Plataforma de licencias ambientales, monitoreo e indicadores.",,,,,,,,,,,,,,,,,,
EJE IX.,78,Gestión Ambiental Integral Urbana,"Eje I (Transparencia), Eje VII (Catastro)",,,,,,,,,,,,,,,,,,,
EJE IX.,78,Gestión Ambiental Integral Urbana,Marco Normativo Ambiental,,,,,,,,,,,,,,,,,,,
EJE IX.,78,Gestión Ambiental Integral Urbana,Sistema de Licencias y Fiscalización,,,,,,,,,,,,,,,,,,,
EJE IX.,79,Áreas Verdes y Parques Urbanos,"Eje VI (Cultura), Eje V (Infancia), Eje VII (Ordenamiento)",,,,,,,,,,,,,,,,,,,
EJE IX.,79,Áreas Verdes y Parques Urbanos,Parques Renovados con Comunidades,,,,,,,,,,,,,,,,,,,
EJE IX.,79,Áreas Verdes y Parques Urbanos,Mantenimiento Participativo,,,,,,,,,,,,,,,,,,,
EJE IX.,80,Reforestación Participativa y Conservación Urbana,Respira La Paz: Campaña ciudadana de reforestación.,Plantación y cuidado comunitario de 1 millón de árboles.,,,,,,,,,,,,,,,,,,
EJE IX.,80,Reforestación Participativa y Conservación Urbana,"Eje V (Riesgos), Eje II (Salud), Eje X (Gobernanza)",,,,,,,,,,,,,,,,,,,
EJE IX.,80,Reforestación Participativa y Conservación Urbana,Red de Reforestación Barrial,,,,,,,,,,,,,,,,,,,
EJE IX.,80,Reforestación Participativa y Conservación Urbana,Jardines Escolares Comunitarios,,,,,,,,,,,,,,,,,,,
EJE IX.,81,Adaptación Climática Urbana y Gestión Hídrica,Escudos Verdes: Estrategia climática comunitaria.,"Microreservorios, jardines de lluvia, techos verdes, infiltración urbana.",,,,,,,,,,,,,,,,,,
EJE IX.,81,Adaptación Climática Urbana y Gestión Hídrica,"Eje II (Agua segura), Eje V (Gestión de Riesgos)",,,,,,,,,,,,,,,,,,,
EJE IX.,81,Adaptación Climática Urbana y Gestión Hídrica,Infraestructura de Drenaje Verde,,,,,,,,,,,,,,,,,,,
EJE IX.,81,Adaptación Climática Urbana y Gestión Hídrica,Reservorios de Agua Urbana,,,,,,,,,,,,,,,,,,,
EJE IX.,82,Energías Renovables y Eficiencia Energética,Ciudad Solar: Energía para la vida.,Paneles solares en 200 escuelas y edificios públicos.,,,,,,,,,,,,,,,,,,
EJE IX.,82,Energías Renovables y Eficiencia Energética,"Eje III (Educación), Eje I (Gestión municipal)",,,,,,,,,,,,,,,,,,,
EJE IX.,82,Energías Renovables y Eficiencia Energética,Techos Solares Municipales,,,,,,,,,,,,,,,,,,,
EJE IX.,82,Energías Renovables y Eficiencia Energética,Alumbrado Solar Distrital,,,,,,,,,,,,,,,,,,,
EJE IX.,83,Gestión Integral de Residuos Sólidos,Basura Cero: Comunidad que separa y reduce.,"Optimizar recolección, crear rutas diferenciadas y nuevo centro de tratamiento.",,,,,,,,,,,,,,,,,,
EJE IX.,83,Gestión Integral de Residuos Sólidos,"Eje IV (Empresas), Eje V (Salud), Eje VII (Logística)",,,,,,,,,,,,,,,,,,,
EJE IX.,83,Gestión Integral de Residuos Sólidos,Recolección Segregada,,,,,,,,,,,,,,,,,,,
EJE IX.,83,Gestión Integral de Residuos Sólidos,Nueva Planta de Tratamiento,,,,,,,,,,,,,,,,,,,
EJE IX.,84,Economía Circular y Reciclaje Inclusivo,Circular La Paz: Laboratorio de economía regenerativa.,"Plataforma de reciclaje con empresas, emprendedores y recicladores base.",,,,,,,,,,,,,,,,,,
EJE IX.,84,Economía Circular y Reciclaje Inclusivo,La Paz Recicla con Dignidad: Red de recicladores y educación urbana.,"Plataforma de reciclaje con empresas, emprendedores y recicladores base.",,,,,,,,,,,,,,,,,,
EJE IX.,84,Economía Circular y Reciclaje Inclusivo,"Eje IV (Empleo), Eje III (Innovación), Eje VI (Eventos)",,,,,,,,,,,,,,,,,,,
EJE IX.,84,Economía Circular y Reciclaje Inclusivo,Centros de Acopio con Recicladores,,,,,,,,,,,,,,,,,,,
EJE IX.,84,Economía Circular y Reciclaje Inclusivo,Ferias de Economía Circular,,,,,,,,,,,,,,,,,,,
EJE IX.,85,Centro Metropolitano de Residuos y Economía Verde,Parque Ecoindustrial del Reciclaje.,"Infraestructura compartida entre La Paz, El Alto y municipios del eje.",,,,,,,,,,,,,,,,,,
EJE IX.,85,Centro Metropolitano de Residuos y Economía Verde,"Eje X (Metropolitano), Eje IV (Empleo Verde)",,,,,,,,,,,,,,,,,,,
EJE IX.,85,Centro Metropolitano de Residuos y Economía Verde,Plataforma de Gestión Integral Metropol.,,,,,,,,,,,,,,,,,,,
EJE IX.,85,Centro Metropolitano de Residuos y Economía Verde,Compostaje y reciclaje industrial,,,,,,,,,,,,,,,,,,,
EJE IX.,86,Agricultura Urbana y Soberanía Alimentaria,Sembrando Futuro: Red de Huertas Ciudadanas.,"Crear 300 huertos escolares, barriales y en techos municipales.",,,,,,,,,,,,,,,,,,
EJE IX.,86,Agricultura Urbana y Soberanía Alimentaria,"Eje II (Salud), Eje IV (Mujeres), Eje VII (Espacio urbano)",,,,,,,,,,,,,,,,,,,
EJE IX.,86,Agricultura Urbana y Soberanía Alimentaria,Huertos Escolares y Vecinales,,,,,,,,,,,,,,,,,,,
EJE IX.,86,Agricultura Urbana y Soberanía Alimentaria,Circuitos Cortos Agroecológicos,,,,,,,,,,,,,,,,,,,
EJE IX.,87,Educación y Cultura Ambiental Comunitaria,Corredores Verdes Urbanos.,Activación de promotores ambientales en 100 unidades educativas.,,,,,,,,,,,,,,,,,,
EJE IX.,87,Educación y Cultura Ambiental Comunitaria,"Eje III (Educación), Eje V (Juventud), Eje VI (Cultura)",,,,,,,,,,,,,,,,,,,
EJE IX.,87,Educación y Cultura Ambiental Comunitaria,Escuelas Ambientales,,,,,,,,,,,,,,,,,,,
EJE IX.,87,Educación y Cultura Ambiental Comunitaria,Brigadas Climáticas Barriales,,,,,,,,,,,,,,,,,,,
EJE IX.,88,Biodiversidad Urbana y Protección de Fauna Silvestre,De la Tierra al Plato: Circuitos cortos y mercados saludables.,"Espacios de protección y conectividad para aves, zorros, roedores silvestres.",,,,,,,,,,,,,,,,,,
EJE IX.,88,Biodiversidad Urbana y Protección de Fauna Silvestre,"Eje X (Periurbano), Eje V (Protección animal)",,,,,,,,,,,,,,,,,,,
EJE IX.,88,Biodiversidad Urbana y Protección de Fauna Silvestre,Reservas Urbanas + Bioindicadores,,,,,,,,,,,,,,,,,,,
EJE IX.,88,Biodiversidad Urbana y Protección de Fauna Silvestre,Refugios y Santuarios,,,,,,,,,,,,,,,,,,,
EJE X.,89,Planes Metropolitanos de Desarrollo Urbano y Territorial,Gran La Paz Humana: Foro de Alcaldías y Ciudadanía Metropolitana.,"Hoja de ruta compartida con visión territorial, ambiental y económica.",,,,,,,,,,,,,,,,,,
EJE X.,89,Planes Metropolitanos de Desarrollo Urbano y Territorial,"Eje VII (Ordenamiento), Eje I (Gobernanza), Eje IX (Residuos)",,,,,,,,,,,,,,,,,,,
EJE X.,89,Planes Metropolitanos de Desarrollo Urbano y Territorial,POT Metropolitano Intermunicipal,,,,,,,,,,,,,,,,,,,
EJE X.,89,Planes Metropolitanos de Desarrollo Urbano y Territorial,Estrategia Metropolitana 2050,,,,,,,,,,,,,,,,,,,
EJE X.,90,Mancomunidades Productivas y Ambientales,Regiones que Producen Vida: Ferias mancomunadas y clústeres regionales.,"Apoyo a ferias, agroindustria, agricultura ecológica, con enfoque metropolitano.",,,,,,,,,,,,,,,,,,
EJE X.,90,Mancomunidades Productivas y Ambientales,"Eje IX (Agricultura), Eje IV (Empleo), Eje VI (Cultura)",,,,,,,,,,,,,,,,,,,
EJE X.,90,Mancomunidades Productivas y Ambientales,Circuitos Productivos Regionales,,,,,,,,,,,,,,,,,,,
EJE X.,90,Mancomunidades Productivas y Ambientales,Gestión de Cuencas Compartidas,,,,,,,,,,,,,,,,,,,
EJE X.,91,Centralidades Metropolitanas,Ej. Estación de >Faro Murillo,"Crear polos de cultura, comercio y movilidad en límites con El Alto, Achocalla.",,,,,,,,,,,,,,,,,,
EJE X.,91,Centralidades Metropolitanas,"Eje IV (Economía), Eje VIII (Movilidad), Eje VI (Turismo)",,,,,,,,,,,,,,,,,,,
EJE X.,91,Centralidades Metropolitanas,Distritos Binacionales La Paz–El Alto,,,,,,,,,,,,,,,,,,,
EJE X.,91,Centralidades Metropolitanas,Nodos de Desarrollo Urbano,,,,,,,,,,,,,,,,,,,
EJE X.,92,Cultura e Identidad Metropolitana,Ruta Metropolitana de las Culturas Vivas.,Activación de expresiones culturales mixtas entre La Paz y El Alto.,,,,,,,,,,,,,,,,,,
EJE X.,92,Cultura e Identidad Metropolitana,"Eje VI (Cultura), Eje V (Juventud)",,,,,,,,,,,,,,,,,,,
EJE X.,92,Cultura e Identidad Metropolitana,Encuentro Cultural Metropolitano,,,,,,,,,,,,,,,,,,,
EJE X.,92,Cultura e Identidad Metropolitana,Escuela de Identidad Metropolitana,,,,,,,,,,,,,,,,,,,
EJE X.,93,Gobernanza Metropolitana y Coordinación Intermunicipal,Mesa Metropolitana de Ciudadanía y Territorio.,Crear una instancia formal de coordinación con competencias delegadas.,,,,,,,,,,,,,,,,,,
EJE X.,93,Gobernanza Metropolitana y Coordinación Intermunicipal,"Eje I (Gestión Municipal), Eje IX (Servicios Ambientales)",,,,,,,,,,,,,,,,,,,
EJE X.,93,Gobernanza Metropolitana y Coordinación Intermunicipal,Consejo de Alcaldes Metropolitanos,,,,,,,,,,,,,,,,,,,
EJE X.,93,Gobernanza Metropolitana y Coordinación Intermunicipal,Agenda Legislativa Intermunicipal,,,,,,,,,,,,,,,,,,,
EJE X.,94,Gestión Metropolitana de Servicios Básicos y Ambientales,"Eje IX (Residuos), Eje II (Salud), Eje VII (Equipamiento)",,,,,,,,,,,,,,,,,,,
EJE X.,94,Gestión Metropolitana de Servicios Básicos y Ambientales,Convenio Residuos y Agua,,,,,,,,,,,,,,,,,,,
EJE X.,94,Gestión Metropolitana de Servicios Básicos y Ambientales,Sistemas Integrados de Alumbrado y Recolección,,,,,,,,,,,,,,,,,,,
EJE X.,95,Integración Metropolitana de Transporte y Logística,"Eje VIII (Movilidad), Eje I (Digitalización), Eje IV (Logística)",,,,,,,,,,,,,,,,,,,
EJE X.,95,Integración Metropolitana de Transporte y Logística,Red Integrada de Transporte Urbano,,,,,,,,,,,,,,,,,,,
EJE X.,95,Integración Metropolitana de Transporte y Logística,Tarifa Única Metropolitana,,,,,,,,,,,,,,,,,,,
EJE X.,96,Centro Metropolitano de Soluciones Urbanas – CEMSU,"Eje III (Innovación), Eje I (Planificación), Eje IX (Adaptación climática)",,,,,,,,,,,,,,,,,,,
EJE X.,96,Centro Metropolitano de Soluciones Urbanas – CEMSU,Plataforma Técnica Metropolitana,,,,,,,,,,,,,,,,,,,
EJE X.,96,Centro Metropolitano de Soluciones Urbanas – CEMSU,Centro de Datos Urbanos Compartidos,,,,,,,,,,,,,,,,,,,
EJE X.,97,Red Campo-Ciudad,1. Mercados Integradores Territoriales (MIT),,,,,,,,,,,,,,,,,,,
EJE X.,97,Red Campo-Ciudad,"Mercados urbanos semi-mayoristas o de consumo directo, gestionados junto a comunidades productoras, con trazabilidad, logística compartida y precios justos.",,,,,,,,,,,,,,,,,,,
EJE X.,97,Red Campo-Ciudad,2. App Campo-Ciudad,,,,,,,,,,,,,,,,,,,
EJE X.,97,Red Campo-Ciudad,"Una aplicación digital de comercio justo, logística compartida y consumo responsable que conecte productores rurales con familias urbanas, restaurantes y hoteles.",,,,,,,,,,,,,,,,,,,
EJE X.,97,Red Campo-Ciudad,3. Bancos de Insumos y Semillas Rurales,,,,,,,,,,,,,,,,,,,
EJE X.,97,Red Campo-Ciudad,"Centros urbanos que provean, en alianza con gobiernos locales, insumos, asistencia técnica, crédito rotativo y tecnología al sector rural.",,,,,,,,,,,,,,,,,,,
EJE X.,97,Red Campo-Ciudad,4. Escuelas Urbanas de Saberes Rurales,,,,,,,,,,,,,,,,,,,
EJE X.,97,Red Campo-Ciudad,"Espacios en la ciudad donde se enseñan oficios, técnicas ancestrales, producción agroecológica, cocina rural y cultura originaria. Fomentan el orgullo rural y el aprendizaje mutuo.",,,,,,,,,,,,,,,,,,,
