Código,Título,Eje,Lugar,Estado
C192,Resolver la situación laboral de los trabajadores del relleno de Alpacoma,Ciudad Verde,"Relleno sanitario de Alpacoma / Saka Churu, La Paz",Vigente
C193,"Implementar el control de peso, calidad y humedad de los residuos en el relleno de Alpacoma",Ciudad Verde,"Relleno sanitario de Alpacoma / Saka Churu, La Paz",Vigente
C194,"Ejecutar el mantenimiento, la estabilización y las obras urgentes del relleno de Alpacoma",Ciudad Verde,"Relleno sanitario de Alpacoma / Saka Churu, La Paz",Vigente
C195,"Implementar el modelo de transformación de los residuos sólidos (biogás, combustible y valorización)",Ciudad Verde,"Relleno sanitario de Alpacoma / Saka Churu, La Paz",Vigente
C196,Revisar el caso del Mercado Los Pinos y regularizar las patentes de los comerciantes,Ciudad Productiva,"Mercado Los Pinos, La Paz",Vigente
C197,Modernizar la Maestranza municipal y aumentar la producción de mobiliario educativo,Ciudad de Cuidados y Derechos,"Subalcaldía / Maestranza de Hampaturi, La Paz",Vigente
C198,Ejecutar el ordenamiento y la reposición del mobiliario educativo en las unidades educativas,Ciudad de Cuidados y Derechos,"Subalcaldía / Maestranza de Hampaturi, La Paz",Vigente
C199,Potenciar el desarrollo productivo y agrícola del área rural de Hampaturi,Ciudad Productiva,"Subalcaldía / Maestranza de Hampaturi, La Paz",Vigente
C200,Impulsar la reactivación económica de La Paz: feria 'Reactiva la Paz' y mesa metropolitana público-privada,Ciudad Productiva,"Reunión Reactiva la Paz (macrodistrito San Antonio), La Paz",Vigente
C201,Investigar la sustracción del equipamiento del parque Laikacota,Ciudad Verde,"Parque Laikacota, La Paz",Vigente
C202,Sanear y reflotar la situación financiera de EMAVIAS,Ciudad Eficiente y Transparente,"EMAVIAS (planta de asfalto), La Paz",Vigente
C203,Investigar el robo de asfaltos y auditar las contrataciones de EMAVIAS,Ciudad Eficiente y Transparente,"EMAVIAS (planta de asfalto), La Paz",Vigente
C204,Coordinar con EPSAS la reposición del asfalto que rompe en las vías,Ciudad Conectada,"EMAVIAS (planta de asfalto), La Paz",Vigente
C205,Habilitar los servicios externos de EMAVIAS y aprobar sus estatutos,Ciudad Eficiente y Transparente,"EMAVIAS (planta de asfalto), La Paz",Vigente
C206,Ejecutar el plan de intervención integral de la piscina de Orcojahuira (San Antonio),Ciudad Vital,"Piscina de Orcojahuira (San Antonio), La Paz",Vigente
C207,Eliminar los sorteos de nichos del Cementerio General y permitir la elección directa y transparente,Ciudad Eficiente y Transparente,"Cementerio General, La Paz",Vigente
C208,Digitalizar y modernizar el registro del Cementerio General,Ciudad Eficiente y Transparente,"Cementerio General, La Paz",Vigente
C209,Esclarecer los recursos de reconstrucción y ejecutar la nueva construcción de nichos del Cementerio General,Ciudad Planificada y Habitable,"Cementerio General, La Paz",Vigente
C210,Recuperar las bibliotecas municipales cedidas y rehabilitar la de Achachicala,Ciudad Cultural y Turística,"Biblioteca Municipal (Mercado), La Paz",Vigente
C211,Digitalizar y conservar el acervo patrimonial de la Biblioteca Municipal,Ciudad Cultural y Turística,"Biblioteca Municipal (Mercado), La Paz",Vigente
C212,Incrementar el presupuesto de la Biblioteca Municipal para la compra de libros y la conservación,Ciudad Cultural y Turística,"Biblioteca Municipal (Mercado), La Paz",Vigente
C213,Ejecutar la conservación y restauración del patrimonio de los museos municipales,Ciudad Cultural y Turística,"Museos municipales (Calle Jaén / Casa de Murillo), La Paz",Vigente
C214,Implementar una tarjeta única de acceso a los museos municipales,Ciudad Cultural y Turística,"Museos municipales (Calle Jaén / Casa de Murillo), La Paz",Vigente
C215,Habilitar parte del Palacio Consistorial como museo por su centenario,Ciudad Cultural y Turística,"Museos municipales (Calle Jaén / Casa de Murillo), La Paz",Vigente
C216,Devolver los cobros indebidos a los 87 pacientes y eliminar el cobro de certificados e informes médicos en el Hospital Los Pinos,Ciudad Vital,"Hospital Los Pinos, La Paz",Vigente
C217,Reponer los extintores vencidos del Hospital Los Pinos y capacitar al personal en su uso,Ciudad Vital,"Hospital Los Pinos, La Paz",Vigente
C218,Ampliar y mejorar la infraestructura del Hospital Los Pinos,Ciudad Vital,"Hospital Los Pinos, La Paz",Vigente
C219,Ampliar y reubicar el Centro de Salud de Tembladerani con accesibilidad y más horarios,Ciudad Vital,"Centro de Salud Tembladerani (Cotahuma), La Paz",Vigente
C220,Garantizar que ningún paciente espere en la calle en el Centro de Salud de Tembladerani (guardia municipal),Ciudad Vital,"Centro de Salud Tembladerani (Cotahuma), La Paz",Vigente
C221,Regularizar el derecho propietario del inmueble del Centro de Salud de Tembladerani,Ciudad Vital,"Centro de Salud Tembladerani (Cotahuma), La Paz",Vigente
C222,Renovar el extintor vencido y el equipamiento de seguridad del Centro de Salud de Tembladerani,Ciudad Vital,"Centro de Salud Tembladerani (Cotahuma), La Paz",Vigente
C223,Ejecutar los estudios y la intervención integral de estabilización del muro cajón de Seguencoma (calle 16),Ciudad Planificada y Habitable,"Muro cajón de Seguencoma (calle 16), La Paz",Vigente
C224,Regularizar la publicidad en vía de la avenida Costanera y cuantificar el hurto de energía del alumbrado público,Ciudad Eficiente y Transparente,"Avenida Costanera (zona Las Cholas), La Paz",Vigente
C225,Actualizar el plan maestro de publicidad exterior de la ciudad (estudio de factibilidad por zonas),Ciudad Planificada y Habitable,"Centro Histórico / Avenida Costanera, La Paz",Vigente
C226,Realizar la limpieza y el mantenimiento de la acera de la avenida Costanera (Las Cholas),Ciudad Conectada,"Avenida Costanera (zona Las Cholas), La Paz",Vigente
C227,Transformar el Mercado Bolívar en un mercado digno (refacción integral),Ciudad Productiva,"Mercado Bolívar (calle Catacora, cerca de Plaza Murillo), La Paz",Vigente
C228,Establecer la limpieza periódica (cada 6 meses) del Mercado Bolívar,Ciudad Productiva,"Mercado Bolívar (calle Catacora, cerca de Plaza Murillo), La Paz",Vigente
C229,Reparar la filtración de humedad y renovar el sistema eléctrico de la Biblioteca Municipal (hemeroteca),Ciudad Cultural y Turística,"Biblioteca Municipal (Hemeroteca), La Paz",Vigente
C230,Impulsar el programa 'La Paz sin petardos' y hacer cumplir la normativa,Ciudad de Cuidados y Derechos,,Vigente
C231,Evaluar y reforzar la estructura metálica del Parque Urbano Central (desequilibrada),Ciudad Planificada y Habitable,"Parque Urbano Central (patios SETRAM/Pumakatari), La Paz",Vigente
C232,Modernizar el centro de monitoreo del transporte (190 cámaras) con inteligencia artificial,Ciudad Inteligente,"Parque Urbano Central (patios SETRAM/Pumakatari), La Paz",Vigente
C233,Concluir la obra vial de Tacagua – San Juan Cotahuma y auditar el contrato,Ciudad Planificada y Habitable,"Avenida Tacagua – San Juan Cotahuma, La Paz",Vigente
C234,Estudiar y rehabilitar el túnel/bocamina de drenaje de San Juan Cotahuma,Ciudad Planificada y Habitable,"San Juan Cotahuma (túnel/bocamina), La Paz",Vigente
C235,Inspeccionar e intervenir el deslizamiento de Las Lomas / línea amarilla (Buenos Aires),Ciudad Planificada y Habitable,"Las Lomas / Buenos Aires (línea amarilla), Cotahuma, La Paz",Vigente
C236,Reutilizar los equipos médicos dados de baja e implementar el mantenimiento biomédico (convenio U. Católica),Ciudad Vital,"Hospital Municipal (red de Cotahuma), La Paz",Vigente
C237,Verificar el derecho propietario y los permisos de construcción de las viviendas en riesgo del talud de Las Lomas,Ciudad Planificada y Habitable,"Las Lomas (talud), La Paz",Vigente
C238,"Rehabilitar el frontón/complejo deportivo de San Antonio (baños, electricidad, canchas y parqueo)",Ciudad Vital,"Frontón / complejo deportivo de San Antonio, La Paz",Vigente
C239,Resolver el asentamiento estructural del Centro de Salud de Villa Armonía,Ciudad Vital,"Centro de Salud de Villa Armonía, La Paz",Vigente
C240,Recuperar y regularizar el condominio de afectados de San Isidro (mal utilizado),Ciudad Planificada y Habitable,"San Isidro (Nieves-Linares), La Paz",Vigente
C241,"Refaccionar el Mercado Kollasuyo (techo, cañerías y luminarias)",Ciudad Productiva,"Mercado Kollasuyo, La Paz",Vigente
C242,Establecer el lavado y la fumigación periódica (2 veces al año) del Mercado Kollasuyo,Ciudad Productiva,"Mercado Kollasuyo, La Paz",Vigente
C243,Auditar el CITE de Joyería (producción real vs. facturación) y esclarecer su manejo,Ciudad Eficiente y Transparente,"CITE de Joyería (Centro de Innovación Tecnológica, Costanera), La Paz",Vigente
C244,"Diagnosticar y reactivar el CITE de Joyería (certificación, refacción, personal y uso del equipamiento)",Ciudad Productiva,"CITE de Joyería (Centro de Innovación Tecnológica, Costanera), La Paz",Vigente
C245,Verificar con inclinometría el resultado del proyecto de mitigación del deslizamiento de Valle de las Flores y esclarecer los cambios de alcance/presupuesto,Ciudad Planificada y Habitable,"Valle de las Flores / Callapa (distrito 16), macrodistrito San Antonio, La Paz",Vigente
C246,"Ejecutar la Fase 2 de estabilización de Valle de las Flores (embovedado del río Quiswaras, drenaje pluvial y retiro de escombros)",Ciudad Planificada y Habitable,"Valle de las Flores / Callapa (distrito 16), macrodistrito San Antonio, La Paz",Vigente
C247,"Rehabilitar los servicios de la zona afectada de Valle de las Flores (energía/alumbrado, vía y poste)",Ciudad Conectada,"Valle de las Flores / Callapa (distrito 16), macrodistrito San Antonio, La Paz",Vigente
C248,Resolver el drenaje y construir el muro de contención en la caja matriz del Parque de las Cebras,Ciudad Planificada y Habitable,"Parque de las Cebras, La Paz",Vigente
C249,Conectar el servicio de agua del Parque de las Cebras (coordinación con EPSAS),Ciudad Planificada y Habitable,"Parque de las Cebras, La Paz",Vigente
C250,"Retirar de inmediato los fierros sueltos, tapar huecos y asegurar cables en el Parque de las Cebras",Ciudad Verde,"Parque de las Cebras, La Paz",Vigente
C251,Habilitar la puerta principal del Parque de las Cebras,Ciudad Verde,"Parque de las Cebras, La Paz",Vigente
C252,Reubicar o retirar los juegos en mal estado y las plantas mal ubicadas del Parque de las Cebras,Ciudad Verde,"Parque de las Cebras, La Paz",Vigente
C253,Instalar césped sintético e iluminación en las canchas del Parque de las Cebras,Ciudad Vital,"Parque de las Cebras, La Paz",Vigente
C254,Retirar o regularizar la caseta inactiva del Ministerio de Salud en el Parque de las Cebras,Ciudad Eficiente y Transparente,"Parque de las Cebras, La Paz",Vigente
C255,Ejecutar el mantenimiento integral del Parque de las Cebras,Ciudad Verde,"Parque de las Cebras, La Paz",Vigente
C256,Investigar el presunto avasallamiento de terreno del Parque de las Cebras (caso Sr. Chura),Tareas operativas,"Parque de las Cebras, La Paz",Vigente
C257,Programa de mantenimiento integral de las 226 unidades educativas,Ciudad de Cuidados y Derechos,,Vigente
C258,Asignar presupuesto específico para las unidades educativas desde la gestión 2027,Ciudad de Cuidados y Derechos,,Vigente
C259,"Programa de seguridad vial escolar (señalización, cebras y voluntarios)",Ciudad Conectada,,Vigente
C260,Poner a disposición más de 1.200 becas para estudiantes de La Paz,Ciudad de Cuidados y Derechos,,Vigente
C261,Programa integral de laboratorios y computación en las unidades educativas,Ciudad Inteligente,,Vigente
C262,Atender las necesidades prioritarias del Colegio Agustín Aspiazu (tinglado y laboratorio),Ciudad de Cuidados y Derechos,"Colegio Agustín Aspiazu, La Paz",Vigente
C263,Reactivar y habilitar la maquinaria parada de EDME,Ciudad Eficiente y Transparente,"Predio de EDME, Bajo Llojeta, La Paz",Vigente
C264,Auditar las contrataciones a terceros de EDME (~Bs 167 millones),Ciudad Eficiente y Transparente,"Predio de EDME, Bajo Llojeta, La Paz",Vigente
C265,Dar de baja el inventario y repuestos obsoletos del almacén de EDME,Ciudad Eficiente y Transparente,"Predio de EDME, Bajo Llojeta, La Paz",Vigente
C266,Regularizar el derecho propietario e intervenir el deslizamiento del predio de EDME,Ciudad Planificada y Habitable,"Predio de EDME, Bajo Llojeta, La Paz",Vigente
C267,Habilitar el surtidor propio y el tanque pulmón de EDME,Ciudad Eficiente y Transparente,"Predio de EDME, Bajo Llojeta, La Paz",Vigente
C268,Implementar el sistema predictivo de repuestos (CRM) y subir el sistema Maresto a la nube,Ciudad Inteligente,"Predio de EDME, Bajo Llojeta, La Paz",Vigente
C269,Mejorar las condiciones laborales del personal de EDME (duchas y vestuarios),Ciudad de Cuidados y Derechos,"Predio de EDME, Bajo Llojeta, La Paz",Vigente
