Código,Compromiso,Secretaría,Proyecto original,Proyecto afinado,Programa afinado,Nivel afinado,Motivo
C183,Corregir el sistema de atención de la línea de emergencia contra la violencia,SM Ciudad de Cuidados y Derechos,Alertas Comunitarias contra la Violencia,Alertas Comunitarias contra la Violencia,Red Distrital de Justicia y Mediacion Barrial,Alto,Corregir la línea de emergencia contra la violencia es alerta comunitaria contra la violencia.
C184,"Habilitar un albergue de invierno de emergencia para mujeres, niños y personas en situación de calle",SM Ciudad de Cuidados y Derechos,Casas de Proteccion Integral,Casas de Proteccion Integral,Infancia y Adolescencia Protegida,Alto,"Habilitar el albergue de invierno protege a mujeres, niños y personas en situación de calle."
C190,Rehabilitar y abrir el albergue Zenobio López para personas en situación de calle,SM Ciudad de Cuidados y Derechos,Casas de Proteccion Integral,Casas de Proteccion Integral,Infancia y Adolescencia Protegida,Alto,Rehabilitar y abrir el albergue Zenobio López protege a personas en situación de calle.
C191,"Extender el programa de alimentación a personas en situación de calle, adultos mayores y de bajos recursos",SM Ciudad de Cuidados y Derechos,Casas Distritales del Adulto Mayor,Casas Distritales del Adulto Mayor,Ciudad Longeva y Activa,Medio,"Programa de alimentación para varias poblaciones vulnerables (calle, adulto mayor, bajos recursos): no calza en un proyecto único del catálogo."
C001,Realizar la Larga Noche de Museos el 11 de julio de 2026,"SM Cultura, Turismo y Econ. Naranja",La noche Blanca,La noche Blanca,Ciudad Vivencial Comunitaria y Laboratorios Culturales,Alto,La Larga Noche de Museos es la Noche Blanca cultural del catálogo.
C003,Preparar los museos de la calle Jaén como salas de exhibición para las fiestas julias,"SM Cultura, Turismo y Econ. Naranja",Intervención de Calle Jaén y alrededores,Intervención de Calle Jaén y alrededores,Rehabilitación de Barrios Históricos,Alto,Acondicionar los museos de la calle Jaén activa el circuito patrimonial de Jaén.
C011,Presentar la Marca Ciudad de La Paz,"SM Cultura, Turismo y Econ. Naranja",La Paz Se Vive: Rutas humanas y patrimoniales,La Paz Se Vive: Rutas humanas y patrimoniales,Turismo de Altura,Alto,Presentar la Marca Ciudad posiciona el turismo y la identidad de La Paz.
C053,Entregar las plazas al folklore como espacios de ensayo,"SM Cultura, Turismo y Econ. Naranja",Red de Cultura Viva Barrial,Red de Cultura Viva Barrial,Culturas para la Vida,Alto,Entregar plazas como espacios de ensayo fortalece la cultura viva barrial.
C057,Realizar la verbena paceña en la Plaza Mayor de San Francisco cuidando el patrimonio,"SM Cultura, Turismo y Econ. Naranja",Festival de la Paz,Festival de la Paz,Culturas para la Vida,Alto,La verbena en la Plaza San Francisco es el Festival de la Paz.
C058,Coordinar con la Asociación de Folkloristas un programa para posicionar la marca ciudad,"SM Cultura, Turismo y Econ. Naranja",Red de Cultura Viva Barrial,Red de Cultura Viva Barrial,Culturas para la Vida,Alto,Articular con folkloristas para posicionar la marca es cultura viva barrial.
C065,Socializar con los negocios la propuesta de letrero único en inmuebles patrimoniales,"SM Cultura, Turismo y Econ. Naranja",Registro Patrimonial + Intervencion de Barrios,Registro Patrimonial + Intervencion de Barrios,Patrimonio para el Futuro,Alto,El letrero único en inmuebles patrimoniales es gestión del patrimonio.
C075,"Compartir con el equipo los documentos del estudio de la marca ciudad 'La Paz, Capital del Cielo'","SM Cultura, Turismo y Econ. Naranja",La Paz Se Vive: Rutas humanas y patrimoniales,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Compartir documentos del estudio internamente: acción operativa interna.
C077,Restituir el POA exclusivo de la Banda Municipal Eduardo Caba,"SM Cultura, Turismo y Econ. Naranja",Escuelas Municipales de Arte,Escuelas Municipales de Arte,Culturas para la Vida,Alto,Restituir el POA de la Banda Municipal sostiene una agrupación artística municipal.
C080,Gestionar ambiente propio e institucionalización de la Banda Eduardo Caba,"SM Cultura, Turismo y Econ. Naranja",Escuelas Municipales de Arte,Escuelas Municipales de Arte,Culturas para la Vida,Alto,Institucionalizar y dar ambiente a la Banda fortalece la agrupación artística municipal.
C082,Crear el reglamento de asignación de escenarios municipales (riesgo compartido),"SM Cultura, Turismo y Econ. Naranja",Escenarios Abiertos: Cultura al aire libre,Escenarios Abiertos: Cultura al aire libre,Infraestructura Cultural y Recreativa,Alto,El reglamento de asignación de escenarios ordena el uso de los escenarios culturales.
C210,Recuperar las bibliotecas municipales cedidas y rehabilitar la de Achachicala,"SM Cultura, Turismo y Econ. Naranja",Centros Culturales Barriales,Centros Culturales Barriales,Infraestructura Cultural y Recreativa,Alto,Recuperar y rehabilitar bibliotecas es infraestructura cultural barrial.
C211,Digitalizar y conservar el acervo patrimonial de la Biblioteca Municipal,"SM Cultura, Turismo y Econ. Naranja",Memoria Viva: Adopta tu Patrimonio,Memoria Viva: Adopta tu Patrimonio,Patrimonio para el Futuro,Alto,Digitalizar y conservar el acervo protege el patrimonio.
C212,Incrementar el presupuesto de la Biblioteca Municipal para la compra de libros y la conservación,"SM Cultura, Turismo y Econ. Naranja",Centros Culturales Barriales,Centros Culturales Barriales,Infraestructura Cultural y Recreativa,Alto,Incrementar el presupuesto de la biblioteca fortalece la infraestructura cultural.
C214,Implementar una tarjeta única de acceso a los museos municipales,"SM Cultura, Turismo y Econ. Naranja",La Paz Se Vive: Rutas humanas y patrimoniales,La Paz Se Vive: Rutas humanas y patrimoniales,Turismo de Altura,Alto,La tarjeta única de acceso a museos impulsa el turismo cultural.
C229,Reparar la filtración de humedad y renovar el sistema eléctrico de la Biblioteca Municipal (hemeroteca),"SM Cultura, Turismo y Econ. Naranja",Mejoras en zonas patrimoniales,Mejoras en zonas patrimoniales,Rehabilitación de Barrios Históricos,Alto,Reparar la humedad y el sistema eléctrico interviene un edificio patrimonial.
C060,Acelerar la ejecución del POA en todos los barrios,SM Gestión Eficiente,POA Visual Participativo,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Acelerar la ejecución del POA es gestión interna de ejecución presupuestaria.
C231,Evaluar y reforzar la estructura metálica del Parque Urbano Central (desequilibrada),SM Gestión Eficiente,Parque Urbano Central + Mercado Patrimonial,Parque Urbano Central + Mercado Patrimonial,Turismo de Altura,Alto,Reforzar la estructura metálica es directamente el proyecto del Parque Urbano Central.
C062,Atender problema de desplazamiento y planos en Callapa,Subalcaldías,Proteccion de Areas de Riesgo,Proteccion de Areas de Riesgo,Gestion del Suelo y Asentamientos Seguros,Alto,Atender el desplazamiento y planos en Callapa es protección de área de riesgo.
C091,Paralizar y hacer cumplir la paralización de las construcciones no autorizadas en el Parque 3600 y el Teatrín,Subalcaldías,Proteccion de Areas de Riesgo,Proteccion de Areas de Riesgo,Gestion del Suelo y Asentamientos Seguros,Alto,Paralizar construcciones no autorizadas en zona de riesgo protege el área de riesgo.
C120,Inspeccionar y corregir el riesgo eléctrico del Colegio Chumán,Subalcaldías,Plan de Rehabilitacion Escolar,Plan de Rehabilitacion Escolar,Infraestructura y Equipamiento Educativo,Alto,Corregir el riesgo eléctrico del colegio es rehabilitación escolar.
C138,Reparar las aceras de la ruta del Gran Poder por acción comunal con la asociación de carpinteros,Subalcaldías,Caminabilidad Distrital,Caminabilidad Distrital,Movilidad Urbana Sostenible,Alto,Reparar aceras de la ruta del Gran Poder mejora la caminabilidad.
C162,"Reponer las afectaciones de la obra en Pampajasí (vía, cámaras, viviendas y cableado)",Subalcaldías,Vias Distritales de Conexion,Vias Distritales de Conexion,Infraestructura Vial Estrategica,Alto,Reponer vía y servicios tras la obra en Pampajasí es infraestructura vial distrital.
C169,Resolver los 400 trámites parados en la Subalcaldía Sur,Subalcaldías,Municipio Inteligente y Humano,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Destrabe operativo de trámites acumulados: gestión administrativa.
C171,Dar mantenimiento al edificio patrimonial de la Subalcaldía Sur,Subalcaldías,Mejoras en zonas patrimoniales,Mejoras en zonas patrimoniales,Rehabilitacion de Barrios Historicos,Alto,Mantener el edificio patrimonial de la subalcaldía interviene una zona patrimonial.
C173,Destrabar los trámites parados en la Subalcaldía Max Paredes,Subalcaldías,Municipio Inteligente y Humano,Proyecto paraguas (operativo/protocolar/interno),-,Suelto,Destrabe operativo de trámites acumulados: gestión administrativa.
C187,Reparar las aceras de Miraflores por acción comunal con los vecinos,Subalcaldías,Caminabilidad Distrital,Caminabilidad Distrital,Movilidad Urbana Sostenible,Alto,Reparar aceras de Miraflores mejora la caminabilidad.
C200,Impulsar la reactivación económica de La Paz: feria 'Reactiva la Paz' y mesa metropolitana público-privada,Subalcaldías,Feria Metropolitana de Vocaciones,Feria Metropolitana de Vocaciones,"Planificacion Productiva, Competitividad y Oportunidades Territoriales",Alto,La feria Reactiva la Paz y la mesa público-privada impulsan las vocaciones productivas.
C226,Realizar la limpieza y el mantenimiento de la acera de la avenida Costanera (Las Cholas),Subalcaldías,Caminabilidad Distrital,Caminabilidad Distrital,Movilidad Urbana Sostenible,Alto,Limpiar y mantener la acera de la Costanera mejora la caminabilidad.
C247,"Rehabilitar los servicios de la zona afectada de Valle de las Flores (energía/alumbrado, vía y poste)",Subalcaldías,Vias Distritales de Conexion,Vias Distritales de Conexion,Infraestructura Vial Estrategica,Alto,Reponer vía y servicios tras el deslizamiento es infraestructura vial distrital.
C248,Resolver el drenaje y construir el muro de contención en la caja matriz del Parque de las Cebras,Subalcaldías,Infraestructura de Drenaje Verde,Infraestructura de Drenaje Verde,Adaptacion Climatica Urbana y Gestion Hidrica,Alto,Resolver el drenaje y el muro de contención es infraestructura de drenaje.
C250,"Retirar de inmediato los fierros sueltos, tapar huecos y asegurar cables en el Parque de las Cebras",Subalcaldías,Parques Renovados con Comunidades,Parques Renovados con Comunidades,Areas Verdes y Parques Urbanos,Alto,"Retirar fierros, tapar huecos y asegurar cables rehabilita el parque con la comunidad."
C251,Habilitar la puerta principal del Parque de las Cebras,Subalcaldías,Parques Renovados con Comunidades,Parques Renovados con Comunidades,Areas Verdes y Parques Urbanos,Alto,Habilitar la puerta principal es parte de la renovación del parque.
C252,Reubicar o retirar los juegos en mal estado y las plantas mal ubicadas del Parque de las Cebras,Subalcaldías,Parques Renovados con Comunidades,Parques Renovados con Comunidades,Areas Verdes y Parques Urbanos,Alto,Reubicar juegos y vegetación renueva el parque con la comunidad.
